Time	Volt	Xaxis	Yaxis	Zaxis
428	87	297	438	507
623	95	289	446	508
812	106	306	441	493
996	110	286	448	495
1174	82	301	451	478
1280	71	305	458	496
1305	73	298	457	492
1330	80	292	454	496
1355	86	288	454	487
1380	89	284	446	498
1405	98	294	451	491
1430	121	292	446	497
1455	131	292	451	497
1480	149	295	447	498
1505	178	286	451	480
1530	204	271	447	460
1555	222	257	439	458
1580	239	283	448	444
1605	253	247	450	434
1630	258	212	456	430
1655	255	223	480	414
1680	248	229	476	441
1705	243	246	464	447
1734	249	274	475	417
1759	256	299	461	441
1784	263	291	440	448
1809	267	275	441	430
1834	269	267	420	464
1859	273	293	418	479
1884	280	312	434	462
1909	286	318	431	477
1934	282	294	413	501
1959	260	271	416	514
1984	238	292	432	485
2009	232	265	422	500
2034	227	253	420	571
2059	220	309	484	504
2084	202	283	465	480
2109	186	280	446	476
2134	175	267	454	480
2159	164	267	436	478
2184	155	283	436	469
2209	147	272	443	469
2234	140	259	444	469
2259	138	259	437	462
2284	151	245	436	459
2313	163	266	446	447
2338	178	270	433	428
2363	175	181	463	432
2388	175	212	453	417
2413	168	262	459	417
2438	152	288	467	439
2463	129	301	457	457
2488	104	309	463	439
2513	87	288	463	463
2538	75	303	429	493
2563	62	327	407	495
2588	67	349	403	482
2613	96	362	381	505
2638	153	199	336	582
2663	136	275	409	528
2688	154	287	481	474
2713	172	281	432	507
2738	205	283	414	542
2763	232	319	442	530
2788	241	332	424	532
2813	245	335	405	532
2838	248	333	421	529
2863	248	335	418	527
2888	240	331	402	531
2917	211	307	387	516
2942	160	290	372	503
2967	131	297	383	504
2992	84	296	415	503
3017	72	314	434	509
3042	59	313	445	489
3067	56	290	455	481
3092	55	279	468	492
3117	55	305	464	467
3142	57	323	464	467
3167	67	280	442	501
3192	78	270	435	515
3217	91	295	438	514
3242	104	298	439	521
3267	118	280	436	504
3292	129	273	431	511
3317	133	281	428	506
3342	137	287	440	491
3367	142	297	440	485
3392	146	271	427	486
3417	147	212	433	509
3442	147	263	433	467
3467	149	264	447	460
3492	148	273	444	453
3521	157	267	435	464
3546	177	268	438	455
3571	206	284	441	444
3596	234	258	430	462
3621	248	252	452	432
3646	252	179	415	486
3671	249	268	428	447
3696	243	279	467	424
3721	245	287	465	436
3746	248	274	466	456
3771	248	258	472	454
3796	245	251	461	469
3821	262	317	482	434
3846	310	321	479	471
3871	317	267	451	503
3896	320	298	464	506
3921	318	308	469	488
3946	315	339	465	492
3971	313	330	453	500
3996	314	270	421	545
4021	316	291	449	520
4046	318	310	462	490
4071	318	289	447	489
4100	316	285	447	505
4125	316	303	449	504
4150	317	305	448	512
4175	316	296	447	520
4200	316	313	449	513
4232	319	326	452	532
4257	322	298	457	499
4282	323	294	461	495
4307	323	279	464	499
4332	322	283	467	495
4357	321	287	461	497
4382	320	294	467	490
4407	320	301	453	500
4432	320	283	456	497
4457	319	299	453	495
4482	320	297	456	507
4507	320	306	458	500
4532	320	299	452	499
4557	321	302	455	502
4582	321	328	453	499
4607	323	347	449	513
4632	322	339	442	517
4657	323	317	451	516
4686	323	336	439	533
4711	323	327	445	543
4736	322	333	452	537
4761	322	353	454	526
4786	322	347	454	529
4811	324	327	451	538
4836	325	318	458	536
4861	325	327	455	534
4886	325	330	461	539
4911	327	326	473	536
4936	327	318	475	530
4961	328	323	465	529
4986	329	329	468	525
5011	329	331	466	526
5036	329	307	458	527
5061	329	297	453	526
5086	329	311	462	526
5111	330	312	467	528
5136	329	331	456	532
5161	330	351	471	522
5186	331	375	488	519
5211	331	366	475	514
5236	331	335	466	513
5265	331	332	474	496
5290	332	356	464	493
5315	332	363	450	480
5340	332	363	438	464
5365	332	361	394	478
5390	333	352	351	472
5415	332	354	333	498
5440	332	343	318	516
5465	332	368	303	508
5490	332	366	348	518
5515	332	296	363	554
5540	332	275	333	561
5565	333	337	340	540
5590	331	347	338	550
5615	332	309	330	542
5640	331	318	302	527
5665	332	299	303	517
5690	331	269	394	500
5715	330	302	381	519
5740	329	330	368	519
5765	327	321	440	513
5790	323	303	445	511
5815	311	332	431	524
5840	286	354	496	540
5869	256	360	468	539
5894	212	300	454	537
5919	172	284	480	546
5944	150	358	467	572
5969	137	312	451	552
5994	124	299	457	526
6019	117	304	456	525
6044	114	304	449	532
6069	111	294	451	528
6094	108	296	446	525
6119	109	290	440	524
6144	109	300	437	523
6169	110	308	433	531
6194	108	307	436	531
6219	108	322	434	526
6244	109	300	431	536
6269	109	313	448	537
6294	104	345	454	523
6319	100	305	445	501
6344	93	315	453	493
6369	83	376	462	501
6394	71	343	476	495
6419	65	330	467	497
6448	57	349	470	490
6473	61	352	463	473
6498	55	295	429	522
6523	52	259	403	562
6548	50	328	422	530
6573	53	361	409	540
6598	57	345	406	565
6623	63	328	410	553
6648	68	319	412	549
6673	73	314	424	531
6698	85	308	421	542
6723	98	310	430	526
6748	103	292	434	500
6773	108	309	443	500
6798	113	299	445	496
6823	119	294	437	502
6848	134	276	446	496
6873	160	268	446	494
6898	176	285	435	491
6923	194	261	423	489
6948	223	253	427	481
6973	243	277	441	467
6998	258	269	435	476
7023	271	253	424	477
7052	281	270	437	478
7077	286	303	445	467
7102	282	295	435	473
7127	275	299	432	469
7152	279	327	439	445
7177	290	329	431	508
7202	301	180	428	524
7227	312	325	437	511
7252	319	306	459	510
7287	322	269	444	511
7312	326	293	452	505
7344	330	273	453	498
7369	330	276	453	504
7394	330	289	457	501
7419	325	298	452	502
7444	321	313	453	497
7469	322	304	441	504
7504	323	325	439	499
7529	323	334	432	498
7554	320	341	427	487
7579	305	308	417	488
7604	273	238	420	498
7629	246	275	444	505
7658	237	288	468	494
7683	235	270	473	498
7708	246	222	473	504
7733	257	197	468	505
7758	278	236	465	503
7783	317	262	468	504
7808	324	290	455	498
7833	326	285	449	494
7858	328	303	454	487
7883	332	324	463	476
7908	331	336	452	467
7933	332	332	439	475
7958	332	305	418	487
7983	332	287	408	475
8008	332	307	419	463
8033	331	256	416	458
8058	332	210	410	466
8083	333	223	402	485
8108	333	251	429	485
8133	333	288	436	493
8158	333	267	443	493
8183	333	268	464	486
8208	334	260	481	462
8237	332	277	476	451
8262	333	271	480	445
8287	333	246	476	435
8312	334	275	473	442
8337	333	307	470	436
8362	333	297	464	449
8387	334	298	433	461
8412	334	324	424	483
8437	334	349	430	479
8462	334	358	411	485
8487	334	335	389	511
8512	334	325	371	517
8537	335	368	375	519
8562	334	394	383	498
8587	334	390	355	505
8612	334	359	319	547
8637	334	345	319	537
8662	334	397	345	531
8687	334	339	309	579
8712	334	356	304	567
8737	335	343	331	591
8762	336	365	325	635
8787	335	375	333	573
8812	335	329	378	515
8841	334	298	347	526
8866	334	316	336	507
8891	334	297	331	521
8916	333	263	309	501
8941	334	300	335	503
8966	334	284	316	463
8991	334	263	308	468
9016	335	239	343	463
9041	334	254	316	455
9066	334	286	354	453
9091	334	292	374	459
9116	334	286	376	485
9141	334	284	383	507
9166	334	285	405	502
9191	333	271	412	503
9216	332	310	400	487
9241	334	333	395	493
9266	333	277	378	529
9291	334	294	362	519
9316	334	255	367	512
9341	334	285	375	496
9366	334	302	373	489
9391	334	298	373	488
9420	334	274	380	489
9445	334	282	387	483
9470	335	270	386	465
9495	335	241	394	466
9520	334	229	396	452
9545	334	265	408	420
9570	334	228	419	422
9595	335	241	410	404
9620	335	267	432	386
9645	335	270	451	376
9670	334	274	439	369
9695	334	291	443	353
9720	334	266	453	358
9745	335	85	415	386
9770	335	201	447	335
9795	334	315	445	463
9820	334	206	422	376
9845	334	311	401	332
9870	334	211	455	361
9895	334	121	431	421
9920	334	257	416	384
9945	334	242	453	403
9970	334	227	438	429
9999	335	251	447	422
10024	334	270	464	409
10049	334	291	478	413
10074	334	332	484	421
10099	333	351	487	436
10124	335	352	492	428
10149	334	357	483	442
10174	333	328	460	460
10199	335	320	437	495
10224	334	291	415	512
10249	333	271	393	511
10274	333	292	375	527
10299	333	316	378	524
10324	334	269	385	525
10349	334	225	384	530
10374	335	240	411	551
10399	334	295	449	523
10424	333	323	446	505
10456	334	303	425	509
10481	334	288	417	510
10506	334	323	410	499
10531	335	360	428	492
10556	334	268	413	537
10585	335	307	432	538
10610	335	317	448	526
10635	334	322	442	523
10660	335	299	433	525
10685	335	315	422	519
10710	335	324	421	520
10735	335	323	419	520
10760	335	322	420	518
10785	335	321	417	523
10810	335	302	425	521
10835	334	293	430	520
10860	335	304	427	520
10885	334	306	428	523
10910	335	304	425	518
10935	334	312	429	514
10960	335	305	423	509
10985	335	289	425	510
11010	334	291	428	512
11035	335	297	435	509
11060	335	314	434	508
11085	334	323	439	505
11110	334	308	441	508
11139	335	298	433	517
11164	335	299	435	511
11189	335	280	422	505
11214	335	266	413	501
11239	335	296	421	492
11264	334	283	418	493
11289	334	297	428	475
11314	334	269	449	470
11339	333	279	463	472
11364	334	278	462	485
11389	333	280	463	468
11414	334	273	483	467
11439	334	269	483	468
11464	334	274	475	463
11489	334	272	477	461
11514	335	272	479	461
11539	334	288	475	462
11564	334	276	473	457
11589	334	280	466	459
11614	334	273	453	476
11639	335	266	437	484
11664	335	270	427	490
11693	335	265	433	493
11718	333	288	439	516
11743	334	292	454	509
11768	335	275	462	483
11793	334	291	466	479
11818	334	290	467	474
11843	335	280	467	474
11868	334	304	474	473
11893	333	302	477	471
11918	333	289	473	474
11943	334	297	483	482
11968	334	301	478	504
11993	335	310	474	487
12018	335	285	460	465
12043	335	293	453	452
12068	335	276	434	459
12093	334	257	423	469
12118	335	254	416	472
12143	335	265	431	519
12168	335	330	455	523
12193	335	331	451	480
12218	334	316	455	491
12247	335	281	459	469
12272	335	272	461	482
12297	335	275	473	487
12322	334	270	471	490
12347	335	274	469	477
12372	334	282	469	474
12397	335	281	461	480
12422	334	279	461	485
12447	334	284	455	490
12472	334	295	453	485
12497	334	292	456	483
12522	335	287	458	483
12547	334	284	457	482
12572	333	283	459	484
12597	334	274	459	489
12622	333	281	460	486
12647	335	278	457	485
12672	334	280	459	488
12697	334	289	463	482
12722	334	295	459	473
12747	333	281	455	481
12772	334	273	452	487
12797	333	296	460	479
12826	333	291	455	482
12861	332	287	454	479
12886	333	295	454	481
12911	333	285	455	482
12936	333	289	454	484
12961	333	284	456	482
12986	333	288	450	490
13011	334	290	450	498
13036	334	295	454	497
13061	335	290	455	498
13086	333	299	459	494
13111	333	287	460	492
13136	334	295	460	492
13161	334	290	460	490
13186	333	278	457	500
13211	333	306	461	498
13236	333	291	466	502
13261	331	286	465	502
13286	332	292	461	491
13311	330	304	461	479
13336	330	285	460	472
13361	330	290	457	475
13389	330	279	458	477
13414	330	277	461	475
13439	331	286	457	472
13464	330	294	455	471
13489	331	283	451	474
13514	331	282	447	483
13539	331	279	440	480
13564	332	272	436	503
13589	332	284	452	511
13614	332	300	454	506
13639	333	282	449	512
13664	333	318	464	491
13689	334	299	470	488
13714	334	293	475	490
13739	333	298	470	500
13764	333	303	466	503
13789	333	299	450	513
13814	333	321	446	505
13849	333	306	447	501
13874	334	317	457	492
13899	333	306	461	484
13924	333	298	463	489
13953	331	294	466	494
13978	330	311	468	494
14003	330	311	470	491
14028	330	303	464	479
14053	329	272	463	485
14078	328	307	468	485
14103	328	318	470	480
14128	329	265	465	496
14153	330	276	467	490
14178	331	304	466	475
14203	332	298	468	479
14228	331	289	472	480
14253	331	283	475	477
14284	331	287	473	478
14309	331	282	467	477
14334	331	278	466	475
14359	331	280	463	472
14384	331	291	467	477
14409	331	287	467	479
14434	332	284	468	477
14459	331	287	468	488
14484	332	287	472	494
14513	332	279	473	479
14538	332	275	471	467
14563	330	285	458	470
14588	330	276	449	485
14613	330	286	449	494
14638	330	298	450	490
14663	328	302	452	485
14688	329	284	459	479
14713	329	294	450	499
14738	329	298	466	501
14763	329	295	460	500
14788	328	301	463	496
14813	330	299	458	497
14838	329	304	459	502
14863	328	309	458	504
14888	328	303	458	507
14913	328	302	457	506
14938	327	305	458	503
14963	327	307	457	507
14988	327	300	459	508
15013	326	306	461	506
15038	325	305	460	508
15063	326	320	464	508
15092	325	308	463	510
15117	325	300	460	513
15142	324	308	460	505
15167	324	317	457	500
15192	325	319	460	498
15217	324	317	456	504
15242	324	316	463	508
15267	324	318	462	512
15292	324	307	462	508
15317	324	307	462	508
15342	324	292	461	489
15367	324	328	459	500
15392	324	310	465	512
15417	326	316	467	511
15442	326	317	470	508
15467	326	312	466	509
15492	326	309	470	512
15517	326	312	468	511
15542	327	315	470	507
15567	325	319	463	509
15592	325	319	467	514
15617	324	319	465	511
15646	323	305	467	518
15671	324	308	462	515
15696	323	302	454	508
15721	323	291	454	502
15746	324	297	459	501
15771	325	293	461	499
15796	323	291	465	498
15821	324	303	472	490
15846	325	297	472	489
15871	324	288	479	488
15896	325	281	485	491
15921	324	303	483	479
15946	324	316	488	469
15971	325	305	509	468
15996	324	290	516	459
16021	323	294	520	450
16046	324	316	532	446
16071	325	323	527	447
16096	324	304	525	459
16121	325	316	529	450
16146	327	354	524	454
16171	325	336	522	461
16200	326	309	503	462
16225	326	339	508	464
16250	326	345	502	468
16275	326	305	477	478
16300	326	335	480	481
16325	326	327	478	485
16350	326	299	459	501
16375	326	330	467	495
16400	326	356	467	487
16425	327	338	459	500
16450	328	325	452	513
16475	328	331	452	499
16500	328	337	459	494
16525	330	282	434	530
16550	330	266	395	545
16575	330	273	383	543
16600	329	312	398	519
16625	330	276	394	527
16650	331	303	422	505
16675	332	314	441	494
16700	331	329	445	496
16725	332	338	452	508
16750	331	321	450	504
16772	331	346	446	497
16797	332	330	458	516
16822	331	325	444	513
16847	331	327	440	516
16872	330	305	446	512
