Time	Volt	Xaxis	Yaxis	Zaxis
450	88	328	452	526
646	90	332	464	517
836	89	321	477	523
1020	88	338	466	525
1198	91	340	471	519
1380	92	343	473	520
1405	93	343	478	529
1430	93	345	474	518
1455	94	346	474	519
1480	95	348	477	518
1505	94	345	475	519
1530	95	346	476	520
1555	95	347	478	518
1580	96	345	474	518
1605	96	347	475	519
1630	96	347	475	520
1655	95	348	475	519
1680	96	346	476	519
1705	95	348	477	520
1730	96	344	476	517
1755	95	351	477	522
1780	96	348	478	519
1805	96	349	479	517
1830	96	349	479	518
1859	96	350	479	517
1884	96	348	479	519
1909	96	350	478	519
1934	97	350	477	519
1959	96	348	479	519
1984	96	349	478	520
2009	96	351	479	520
2034	97	351	479	520
2059	96	350	477	521
2084	94	350	476	519
2109	94	343	475	523
2134	94	344	482	517
2159	95	343	482	514
2184	94	347	480	516
2209	95	348	479	517
2234	95	348	479	518
2259	95	347	476	520
2284	96	350	472	523
2309	95	349	476	520
2334	95	349	477	519
2359	96	349	477	520
2384	96	349	477	521
2409	95	347	477	519
2434	95	346	478	517
2463	95	346	476	518
2488	94	348	476	519
2513	95	348	472	522
2538	95	347	474	522
2563	95	349	475	521
2588	96	348	474	520
2613	95	348	475	519
2638	95	348	477	520
2663	96	348	473	522
2688	94	350	475	520
2713	96	350	477	521
2738	95	347	474	520
2763	95	348	477	519
2788	95	347	475	520
2813	96	347	476	521
2838	96	347	473	521
2863	95	344	481	520
2888	95	348	466	522
2913	96	347	478	518
2938	96	348	475	519
2963	95	347	469	522
2988	95	351	477	518
3013	95	346	477	521
3038	95	348	474	522
3067	96	349	478	519
3092	96	350	477	520
3117	96	351	479	520
3142	95	351	477	519
3167	96	351	478	519
3192	95	349	480	517
3217	96	350	479	519
3242	95	351	480	519
3267	96	349	480	517
3292	95	350	478	519
3317	95	349	480	517
3342	96	351	479	518
3367	96	350	479	518
3392	95	351	480	518
3417	97	353	477	523
3442	96	352	481	517
3467	97	352	483	518
3492	97	351	483	517
3517	97	351	482	517
3542	98	353	482	517
3567	97	352	483	519
3592	97	355	481	523
3617	97	351	478	518
3642	97	352	472	521
3667	96	356	477	519
3696	97	352	479	516
3721	98	353	478	514
3746	97	350	484	515
3771	97	350	479	519
3796	97	350	483	517
3821	96	349	478	519
3846	96	351	484	520
3871	96	344	477	527
3896	95	353	465	518
3921	96	350	480	517
3946	95	347	475	520
3971	96	350	477	518
3996	96	342	480	519
4021	95	343	476	520
4046	96	350	472	519
4071	95	341	480	523
4096	95	348	475	519
4121	96	348	474	520
4146	96	348	475	521
4171	96	346	477	521
4196	97	346	477	519
4221	96	348	473	523
4246	96	346	473	519
4271	96	346	471	522
4300	96	345	473	520
4332	96	345	471	522
4357	97	348	469	520
4382	96	345	473	519
4407	96	346	474	521
4432	97	345	473	520
4457	97	348	470	521
4482	98	347	475	519
4507	98	348	471	524
4532	96	349	473	523
4557	97	346	472	521
4582	97	344	472	523
4607	97	346	477	521
4632	97	346	470	520
4657	98	347	476	521
4682	97	347	475	522
4707	97	345	477	521
4732	97	352	477	522
4757	97	349	469	519
4782	97	346	473	522
4807	98	347	474	522
4832	98	345	472	519
4857	97	345	476	520
4882	98	347	476	520
4907	98	349	469	520
4936	98	348	473	527
4961	97	346	463	526
4986	97	348	471	524
5011	97	347	472	522
5036	97	345	477	521
5061	97	346	477	521
5086	97	346	470	525
5111	97	346	470	522
5136	96	345	469	522
5161	97	344	467	523
5186	97	344	468	522
5211	97	348	471	523
5236	97	348	473	520
5261	98	348	475	523
5286	98	346	474	525
5311	97	348	479	524
5336	97	348	471	525
5361	97	352	468	527
5386	98	349	467	526
5411	97	348	468	522
5436	97	343	474	525
5461	97	345	473	518
5486	98	343	476	515
5511	97	341	477	518
5540	97	343	477	519
5565	98	341	469	526
5590	97	351	467	529
5615	96	350	465	528
5640	96	350	477	521
5665	96	345	473	525
5690	96	347	478	522
5715	96	348	475	520
5740	96	347	473	522
5765	96	346	470	520
5790	96	349	471	525
5815	96	349	467	525
5840	96	344	484	521
5865	96	348	471	523
5890	96	347	472	523
5915	96	346	474	522
5940	96	348	469	523
5965	95	347	475	524
5990	96	348	472	522
6015	96	340	475	522
6040	96	349	476	520
6065	97	348	476	520
6090	96	347	473	519
6115	96	352	475	518
6144	97	348	474	519
6169	97	348	475	522
6194	98	348	474	520
6219	97	348	474	521
6244	97	350	475	521
6269	97	349	477	520
6294	97	350	476	520
6319	97	349	476	522
6344	97	349	477	522
6369	98	351	475	523
6394	97	349	476	522
6419	96	349	475	521
6444	97	349	476	519
6469	97	348	477	520
6494	97	348	476	518
6519	97	349	477	521
6544	98	351	476	522
6569	97	349	475	521
6594	97	350	477	521
6619	97	350	477	522
6644	97	349	477	520
6669	97	350	478	520
6694	97	350	477	520
6719	97	349	475	520
6744	97	349	477	521
6773	97	349	475	520
6798	98	350	478	521
6823	97	350	476	522
6848	97	351	476	521
6873	97	348	478	522
6898	97	351	475	523
6923	97	349	477	522
6948	97	355	471	523
6973	97	350	481	519
6998	97	351	479	519
7023	97	352	478	520
7048	97	350	477	521
7073	97	351	478	521
7098	96	351	475	523
7123	96	350	473	521
7148	96	349	474	521
7173	96	352	474	522
7198	97	349	481	528
7223	96	352	483	518
7248	97	351	477	521
7273	97	349	479	517
7298	98	352	478	521
7323	96	351	472	526
7348	96	349	476	523
7387	96	351	477	521
7412	96	351	479	520
7444	97	351	479	520
7469	96	351	477	521
7494	96	350	477	520
7519	96	350	479	520
7544	96	351	475	525
7569	96	352	473	523
7604	98	351	475	522
7629	96	349	474	522
7654	97	349	475	521
7679	97	349	475	522
7704	97	350	473	522
7729	97	347	476	520
7754	98	349	476	518
7779	97	349	472	523
7804	97	348	472	522
7829	98	349	473	523
7854	97	349	474	522
7879	98	349	472	522
7904	97	348	471	522
7929	97	349	472	524
7954	97	347	472	523
7979	97	348	472	523
8008	97	348	472	522
8033	96	348	474	523
8058	96	349	475	524
8083	97	349	473	522
8108	97	349	472	524
8133	97	350	477	521
8158	97	348	476	519
8183	97	349	476	519
8208	98	349	478	521
8233	97	350	478	522
8258	97	350	475	523
8283	98	350	473	521
8308	97	351	473	523
8333	98	349	476	521
8358	97	352	476	523
8383	97	351	473	526
8408	97	351	480	520
8433	97	354	477	525
8458	97	348	479	518
8483	97	349	478	518
8508	97	349	478	519
8533	97	349	480	520
8558	97	352	481	517
8583	97	352	481	519
8608	97	353	483	520
8637	97	352	483	519
8662	97	371	488	511
8687	97	354	479	522
8712	96	352	481	519
8737	96	355	482	518
8762	96	354	482	520
8787	97	354	481	518
8812	97	354	481	518
8837	97	353	481	518
8862	97	351	481	519
8887	97	353	481	519
8912	96	351	481	518
8937	97	354	481	520
8962	97	354	483	518
8987	98	353	482	520
9012	98	354	480	522
9037	97	352	479	522
9062	97	351	473	521
9087	97	350	478	522
9112	97	350	473	520
9137	98	350	479	518
9162	98	351	480	518
9187	98	350	480	518
9212	98	351	479	522
9241	98	351	480	519
9266	97	352	477	520
9291	98	352	475	523
9316	98	353	478	523
9341	97	354	479	521
9366	97	351	482	523
9391	98	352	480	519
9416	98	350	480	521
9441	98	349	477	519
9466	97	350	478	523
9491	98	351	474	521
9516	97	351	477	521
9541	97	351	476	522
9566	99	351	478	522
9591	98	351	476	522
9616	99	351	474	524
9641	98	352	474	522
9666	97	350	476	522
9691	98	350	476	521
9716	98	350	478	519
9741	98	350	475	523
9766	98	351	476	521
9791	98	351	475	523
9816	98	350	475	523
9841	98	350	475	521
9870	98	351	472	521
9895	98	350	476	523
9920	98	348	475	522
9945	99	350	473	522
9970	99	348	476	521
9995	99	349	473	520
10020	98	348	478	521
10045	98	350	473	524
10070	99	349	475	521
10095	99	350	476	521
10120	98	350	475	521
10145	98	350	475	522
10170	98	351	478	521
10195	98	350	476	522
10220	98	351	477	520
10245	98	350	478	520
10270	98	350	477	521
10295	99	350	479	518
10320	98	350	478	520
10345	97	350	477	519
10370	98	351	477	522
10395	99	351	476	520
10420	98	351	474	521
10449	99	351	478	520
10474	99	353	483	519
10499	98	351	487	517
10524	97	351	481	508
