Time	Volt	Xaxis	Yaxis	Zaxis
458	81	322	335	514
653	79	307	344	534
841	72	322	376	542
1024	53	328	408	520
1201	35	342	441	518
1384	46	327	449	530
1409	46	335	453	526
1434	42	345	453	520
1459	39	335	451	525
1484	41	327	451	533
1509	47	339	456	530
1534	51	339	452	525
1559	53	363	457	510
1584	56	344	451	509
1609	60	335	448	508
1634	63	348	448	506
1659	64	336	444	507
1684	64	327	446	492
1709	63	302	454	526
1734	58	368	469	614
1759	50	347	483	500
1784	44	368	457	538
1809	43	353	461	532
1834	41	345	464	518
1863	40	331	447	527
1888	38	338	455	523
1913	38	337	455	543
1938	39	353	468	528
1963	38	357	455	537
1988	38	361	466	530
2013	37	361	460	530
2038	37	351	465	533
2063	37	347	459	526
2088	38	347	460	531
2113	36	346	457	526
2138	36	336	462	521
2163	35	342	465	529
2188	34	356	464	522
2213	33	345	464	525
2238	31	337	462	528
2263	31	340	463	522
2288	30	343	464	516
2313	30	347	464	506
2338	29	357	467	499
2363	29	342	465	513
2388	28	328	465	543
2413	27	324	471	551
2438	27	343	467	514
2467	26	326	460	512
2492	27	330	460	524
2517	27	341	453	527
2542	27	334	454	522
2567	27	326	463	522
2592	26	323	462	519
2617	26	317	459	516
2642	26	323	459	514
2667	26	318	459	513
2692	25	317	458	514
2717	26	323	456	513
2742	25	323	457	514
2767	26	318	457	514
2792	27	317	461	514
2817	26	317	458	510
2842	26	316	455	515
2867	26	310	456	512
2892	26	338	479	502
2917	26	315	454	510
2942	26	307	454	508
2967	26	313	454	513
2992	26	309	451	514
3017	25	312	455	512
3042	26	313	457	512
3071	26	313	453	510
3096	26	316	456	511
3121	26	300	449	504
3146	26	307	456	508
3171	27	308	454	510
3196	27	309	455	509
3221	26	308	452	508
3246	26	309	454	509
3271	26	308	457	507
3296	26	309	454	509
3321	26	308	455	506
3346	26	307	454	507
3371	26	307	454	508
3396	26	309	454	508
3421	25	308	455	508
3446	26	310	450	510
3471	26	305	454	507
3496	26	307	453	506
3521	26	309	451	507
3546	26	306	455	508
3571	26	307	454	507
3596	27	305	456	507
3621	25	308	453	506
3646	26	309	456	507
3671	26	308	453	509
3700	27	298	452	510
3725	25	305	454	506
3750	26	307	454	506
3775	26	307	453	507
3800	26	309	454	503
3825	26	304	456	507
3850	26	307	452	507
3875	25	305	452	506
3900	26	306	454	506
3925	26	308	455	505
3950	26	304	454	506
3975	26	310	454	505
4000	25	308	455	505
4025	26	298	454	507
4050	26	304	453	505
4075	26	304	455	506
4100	26	305	453	505
4125	26	305	454	506
4150	26	307	459	504
4175	26	304	452	505
4200	27	303	453	505
4225	27	304	453	506
4250	25	304	453	504
4275	26	304	453	508
4304	26	304	452	505
4336	26	303	454	505
4361	26	304	452	504
4386	26	303	454	504
4411	26	304	452	507
4436	26	302	451	506
4461	26	311	448	507
4486	26	311	447	507
