Time	Volt	Xaxis	Yaxis	Zaxis
336	37	305	446	513
531	39	302	465	504
719	40	296	454	503
827	42	290	449	508
852	41	292	445	506
877	42	298	446	500
902	41	296	449	497
927	42	292	447	495
952	43	290	446	496
977	43	293	448	497
1002	45	292	447	494
1027	45	285	448	493
1052	46	289	450	493
1077	46	292	449	491
1102	47	291	445	492
1127	47	288	448	494
1152	49	289	447	493
1177	49	289	448	494
1202	49	286	447	494
1227	50	285	445	494
1252	49	289	452	497
1277	48	291	450	497
1302	49	288	445	491
1327	48	284	443	488
1356	48	285	439	490
1381	48	287	440	494
1406	47	289	445	490
1431	48	287	446	493
1456	46	278	449	494
1481	47	285	450	491
1506	46	289	447	489
1531	45	280	442	487
1556	43	285	443	487
1581	44	285	444	490
1606	44	284	447	491
1631	45	284	448	489
1656	45	281	444	493
1681	46	275	443	498
1706	48	283	441	497
1731	52	294	438	488
1756	57	281	436	494
1781	61	291	437	495
1806	65	289	431	500
1831	69	276	431	502
1856	75	275	410	515
1881	78	313	440	505
1906	84	307	433	507
1931	102	307	439	500
1960	130	317	444	507
1985	146	326	448	509
2010	162	331	457	496
2035	170	318	458	496
2060	169	307	461	499
2085	173	319	465	488
2110	176	311	464	484
2135	174	295	455	495
2160	187	287	453	497
2185	202	286	457	489
2210	210	291	457	489
2235	213	279	452	502
2260	214	278	449	497
2285	218	295	444	490
2310	223	289	434	496
2335	226	291	429	504
2360	229	310	428	497
2385	234	295	423	495
2410	241	281	404	505
2435	250	284	396	522
2460	273	280	420	518
2485	272	289	410	522
2510	276	297	425	521
2535	277	288	417	518
2564	277	311	413	513
2589	281	305	413	514
2614	284	294	410	516
2639	287	286	410	514
2664	290	292	407	512
2689	290	295	403	520
2714	290	285	401	519
2739	291	283	406	506
2764	290	291	415	498
2789	291	292	418	501
2814	293	291	411	511
2839	293	296	407	520
2864	292	299	401	513
2889	292	289	407	506
2914	292	291	410	505
2939	293	295	402	514
2964	292	299	403	513
2989	292	284	412	510
3014	292	286	415	503
3039	292	292	416	501
3064	293	296	416	501
3089	293	291	414	502
3114	294	291	398	515
3143	294	291	401	522
3168	294	292	407	511
3193	295	290	413	502
3218	297	290	412	500
3243	296	292	411	507
3268	296	296	410	507
3293	296	295	407	506
3318	296	291	408	507
3343	295	294	406	508
3368	296	293	407	510
3393	295	291	402	513
3418	295	292	404	512
3443	295	291	404	508
3468	295	295	406	510
3493	294	296	407	511
3518	294	296	408	512
3543	294	295	406	512
3568	293	295	405	512
3593	294	296	410	509
3618	293	294	411	507
3643	293	298	410	509
3668	292	294	410	508
3693	293	297	410	512
3722	292	297	408	514
3747	293	297	406	515
3772	292	299	407	515
3797	292	298	407	512
3829	292	297	409	515
3854	292	298	406	511
3879	293	299	409	509
3904	292	301	408	513
3929	291	298	409	515
3954	292	299	409	513
3979	292	299	408	511
4004	291	299	408	511
4029	291	298	407	513
4054	292	299	408	514
4079	292	297	408	514
4104	294	297	408	512
4129	293	299	408	512
4154	294	299	406	515
4179	293	297	405	516
4204	293	296	407	515
4229	293	298	406	511
4254	292	297	408	511
4279	293	295	408	513
4308	293	296	407	516
4333	293	297	406	511
4358	293	296	408	510
4383	293	296	407	507
4408	292	295	407	510
4433	293	294	407	512
4458	294	295	404	513
4483	292	295	403	511
4508	293	296	402	513
4533	291	299	405	514
4558	292	298	407	512
4583	293	294	409	511
4608	293	295	409	506
4633	292	294	406	509
4658	292	295	408	510
4683	293	298	405	513
4708	292	297	402	516
4733	294	295	405	511
4758	293	295	406	509
4783	294	293	407	513
4808	294	293	408	512
4833	294	294	408	507
4858	294	291	402	506
4883	294	297	402	512
4912	295	298	402	515
4937	295	296	404	516
4962	294	294	406	509
4987	294	292	411	506
5012	295	294	411	504
5037	293	292	408	509
5062	295	297	405	509
5087	295	295	403	512
5112	294	295	401	515
5137	294	294	404	512
5162	294	293	410	505
5187	293	293	409	500
5212	293	293	404	509
5237	293	297	405	512
5262	293	298	405	510
5287	293	295	407	510
5312	294	293	405	511
5337	294	292	404	514
5362	294	292	408	505
5387	294	292	408	505
5412	293	296	411	507
5437	294	298	410	508
5462	295	293	407	515
5491	293	294	405	511
5516	293	289	399	509
5541	294	290	401	511
5566	293	295	407	508
5591	294	296	411	508
5616	294	295	410	508
5641	295	295	404	512
5666	294	296	403	511
5691	296	293	404	511
5716	295	292	404	509
5741	295	292	405	511
5766	296	296	406	510
5791	297	296	406	509
5816	297	294	407	511
5841	298	294	406	509
5866	298	296	407	509
5891	298	294	406	511
5916	298	296	404	516
5941	298	298	405	511
5966	299	296	406	509
5991	299	296	405	510
6016	299	296	406	512
6041	299	296	405	515
6070	299	296	407	512
6095	299	297	408	511
6120	298	295	408	510
6145	299	296	405	510
6170	298	295	405	511
6195	299	297	408	512
6220	298	294	407	511
6245	299	294	408	508
6270	298	293	407	507
6295	298	293	406	511
6320	299	294	405	512
6345	298	294	403	513
6370	298	295	404	514
6395	299	293	406	509
6420	299	292	405	508
6445	299	293	405	508
6470	299	293	405	509
6495	299	294	404	513
6520	298	293	403	511
6545	298	294	406	512
6570	299	293	406	510
6595	299	294	405	509
6620	299	295	405	510
6645	299	296	405	511
6667	300	297	406	512
6692	300	297	408	512
6717	300	295	405	512
6742	301	294	404	514
6767	300	298	404	513
6792	300	299	407	511
6817	301	295	408	510
6842	300	298	407	510
6867	300	297	407	511
6901	300	296	406	512
6926	300	297	406	514
6958	300	297	405	512
6983	299	298	404	514
7008	299	299	406	511
7033	299	298	406	511
7058	298	297	406	512
7093	299	298	405	513
7118	298	297	406	513
7143	299	296	404	511
7168	299	296	404	514
7193	299	300	407	511
7218	300	298	417	510
7243	299	297	413	508
7272	299	293	408	510
7297	299	293	403	513
7322	299	296	402	516
7347	299	299	403	514
7372	298	300	401	514
7397	299	297	403	519
7422	299	295	403	512
7447	299	294	407	509
7472	300	295	409	511
7497	299	298	409	512
7522	300	299	411	512
7547	299	293	415	515
7572	299	303	414	506
7597	298	296	404	512
7622	298	293	395	518
7647	299	298	393	521
7672	298	301	397	522
7697	300	300	399	521
7722	299	302	400	518
7747	299	300	404	515
7772	299	298	404	513
7797	300	300	405	510
7822	300	300	407	509
7851	299	300	404	510
7876	299	300	400	512
7901	300	300	395	516
7926	299	302	396	519
7951	299	303	392	518
7976	299	306	401	515
8001	300	303	408	520
8026	300	296	403	521
8051	300	288	398	520
8076	300	294	389	514
8101	299	304	385	509
8126	300	311	382	507
8151	300	305	388	513
8176	301	301	401	512
8201	302	299	409	512
8226	302	303	414	513
8251	303	304	410	514
8276	303	301	403	519
8301	302	299	399	522
8326	303	300	395	523
8351	302	299	398	522
8376	302	300	402	519
8401	301	301	402	518
8430	301	302	403	516
8455	300	303	404	517
8480	299	300	406	511
8505	300	299	406	510
8530	299	301	406	511
8555	299	303	409	513
8580	298	306	408	516
8605	297	304	410	514
8630	298	307	415	514
8655	297	300	410	523
8680	297	303	404	523
8705	296	303	407	519
8730	296	301	409	514
8755	297	301	409	513
8780	297	299	408	517
8805	297	298	408	514
