Time	Volt	Xaxis	Yaxis	Zaxis
367	186	325	362	521
563	184	308	363	515
752	183	311	361	518
860	184	311	363	516
885	185	311	363	517
910	185	310	362	519
935	185	309	361	519
960	185	316	362	517
985	184	311	362	515
1010	185	304	367	514
1035	185	310	361	518
1060	185	312	363	519
1085	185	312	360	517
1110	185	312	362	518
1135	185	312	362	517
1160	185	310	362	517
1185	184	311	362	518
1210	185	311	362	517
1235	184	310	363	518
1260	186	312	361	517
1285	185	312	362	518
1310	186	309	363	518
1335	186	311	362	518
1364	186	311	361	518
1389	186	312	363	516
1414	186	311	362	517
1439	186	311	362	517
1464	186	312	361	518
1489	187	309	362	516
1514	188	311	364	517
1539	187	312	363	517
1564	188	310	363	518
1589	186	311	361	516
1614	187	311	362	517
1639	187	311	361	517
1664	188	311	363	517
1689	187	311	361	517
1714	188	311	362	519
1739	189	312	362	518
1764	188	310	361	518
1789	188	311	363	517
1814	188	311	362	518
1839	188	311	362	517
1864	190	310	362	516
1889	189	312	363	518
1914	189	312	362	520
1943	188	310	362	517
1968	188	309	362	517
1993	188	312	362	517
2018	188	310	362	518
2043	188	311	362	516
2068	188	311	362	518
2093	188	312	363	517
2118	189	310	362	517
2143	189	310	361	517
2168	188	312	364	517
2193	188	310	361	519
2218	189	311	363	517
2243	189	310	362	518
2268	189	309	363	518
2293	190	311	363	518
2318	189	312	361	516
2343	191	313	361	517
2368	188	311	363	517
2393	191	311	361	517
2418	191	311	364	517
2443	190	312	362	518
2468	191	311	362	519
2493	191	310	361	518
2522	190	312	363	517
2547	191	310	362	518
2572	190	312	362	518
2597	191	310	362	518
2622	191	310	362	517
2647	192	312	361	518
2672	192	311	362	517
2697	191	310	362	517
2722	192	311	361	517
2747	191	312	362	519
2772	192	310	362	518
2797	192	311	362	519
2822	193	310	362	518
2847	192	311	362	518
2872	192	311	362	518
2897	192	311	362	517
2922	194	310	362	518
2947	192	312	364	518
2972	192	308	362	518
2997	192	309	362	518
3022	193	311	361	518
3047	194	312	362	519
3072	193	311	361	518
3097	193	310	363	518
3126	193	312	361	521
3151	193	314	363	517
3176	191	313	363	520
3201	193	312	362	516
3226	193	313	362	519
3251	193	313	363	518
3276	193	313	363	518
3301	193	312	362	519
3326	193	311	363	520
3351	191	312	362	517
3376	192	312	360	518
3401	192	312	361	518
3426	193	311	362	518
3451	192	312	363	518
3476	191	311	363	519
3501	192	311	362	519
3526	191	312	362	518
3551	192	311	362	519
3576	192	311	361	518
3601	192	310	363	518
3626	191	309	362	517
3651	192	312	362	518
3676	193	312	366	516
3705	192	310	362	517
3730	192	311	362	520
3755	192	311	363	518
3780	192	312	363	519
3805	192	311	363	518
3830	192	311	363	517
3862	192	312	362	516
3887	192	311	363	518
3912	192	311	364	517
3937	192	311	363	517
3962	192	311	362	516
3987	192	310	363	518
4012	191	312	362	519
4037	191	309	361	518
4062	191	312	361	518
4087	191	309	364	517
4112	191	310	365	517
4137	191	312	362	518
4162	192	309	362	518
4187	190	311	362	517
4212	191	309	363	518
4237	192	311	363	518
4262	192	310	362	520
4291	192	312	364	518
4316	192	310	363	518
4341	193	310	360	518
4366	193	311	363	517
4391	192	310	362	518
4416	192	310	364	519
4441	194	311	362	518
4466	194	312	362	519
4491	194	310	362	518
4516	194	311	363	517
4541	195	310	361	518
4566	195	310	362	518
4591	194	311	362	518
4616	195	310	362	518
4641	195	310	362	517
4666	195	311	362	519
4691	195	309	363	518
4716	195	310	362	518
4741	195	311	363	520
4766	195	312	364	518
4791	195	311	363	518
4816	195	310	362	518
4841	195	310	361	517
4866	195	310	363	517
4888	196	311	363	519
4913	196	311	363	518
4938	196	311	362	519
4963	196	311	361	518
4988	195	310	362	518
5013	196	312	363	519
5038	194	311	363	518
5063	196	312	363	519
5088	196	312	362	518
5113	195	312	362	517
5138	195	311	360	518
5163	196	310	362	519
5188	195	310	362	518
5213	195	312	363	518
5238	194	310	362	518
5263	195	311	362	517
5288	195	310	362	517
5313	195	311	362	515
5338	195	310	361	518
5363	195	311	363	516
5388	196	312	363	518
5413	195	310	363	519
5438	196	312	363	517
5467	195	310	362	517
5492	196	310	362	518
5517	196	310	362	518
5542	196	311	363	519
5567	196	311	363	519
5592	196	311	361	517
5617	197	310	360	518
5642	196	311	362	520
5667	196	310	362	518
5692	196	310	363	518
5717	197	313	362	520
5742	197	310	365	518
5767	197	311	362	518
5792	197	311	362	517
5817	197	311	362	518
5842	197	311	362	519
5867	197	311	362	518
5892	197	311	363	517
5917	198	312	360	518
5942	198	311	362	518
5967	198	311	363	518
5992	197	311	362	518
6017	197	312	363	518
6046	197	309	362	521
6071	197	311	364	518
6096	197	312	361	518
6121	198	311	360	518
6146	197	312	362	518
6171	197	311	363	518
6196	196	310	362	518
6221	198	310	363	519
6246	197	310	363	519
6271	197	313	362	518
6296	197	310	361	519
6321	198	311	362	518
6346	197	311	363	519
6371	197	312	363	517
6396	197	312	362	520
6421	198	310	361	518
6446	198	311	361	519
6471	197	311	361	517
6496	197	312	361	520
6521	197	312	362	518
6546	197	310	364	518
6571	198	312	363	518
6596	198	312	361	518
6625	198	311	361	519
6650	197	312	361	519
6675	198	312	362	519
6700	198	312	362	519
6725	197	311	364	518
6750	197	311	363	519
6775	197	311	363	519
6800	198	313	361	518
6825	198	311	362	517
6850	198	310	362	519
6875	199	310	363	518
6900	199	311	361	518
6934	198	311	362	519
6959	198	311	363	519
6991	199	311	362	520
