Task,Angle,Acceleration,Subject
eat,3799.100135,3147.48246,1
wipe,7330.513663,23807.49926,1
type,3412.228866,7601.21317,1
write,8036.648078,4727.532735,1
fold,17544.98428,16363.65413,1
peg,25097.18004,15754.96569,1
eat,2829.07804,5167.101301,2
wipe,899.665578,6710.688226,2
type,2825.275456,5939.070548,2
write,241.269559,6564.249648,2
fold,28396.12371,16417.9267,2
peg,24970.02475,14841.39451,2
eat,2551.106924,3644.474787,3
wipe,153.878291,6672.316353,3
type,16314.52949,4711.386534,3
write,5852.985366,5538.247938,3
fold,18637.90945,11071.11086,3
peg,21200.68139,9995.998122,3
eat,2388.083701,3849.874404,4
wipe,1638.407079,12760.47834,4
type,11766.57305,7599.444264,4
write,10508.23201,7502.223003,4
fold,54135.93907,16324.66329,4
peg,31405.56927,16691.46924,4
eat,3312.539097,6121.833482,5
wipe,11728.85982,13348.94525,5
type,6786.216135,14766.02459,5
write,3727.240858,6942.076258,5
fold,33080.95934,20576.31245,5
peg,21300.12506,12841.48225,5
