Time	Volt	Xaxis	Yaxis	Zaxis
212	18	674	642	540
233	18	656	657	526
256	18	664	646	532
279	19	670	645	528
302	18	671	653	527
325	18	672	645	530
348	18	674	648	525
371	18	667	653	527
394	18	668	644	530
417	18	671	649	526
440	18	672	649	525
463	18	667	649	524
486	18	672	652	526
509	19	670	646	525
532	18	672	652	524
555	18	672	651	526
578	18	673	653	524
601	18	670	647	527
624	18	672	654	527
647	18	671	654	523
670	18	670	650	524
693	18	671	650	524
716	18	670	657	522
739	19	670	649	525
762	18	671	652	525
788	19	669	650	526
811	19	665	647	526
834	19	670	654	523
857	18	671	655	523
880	19	670	651	525
903	19	671	654	524
926	20	670	650	527
949	19	670	647	529
972	19	670	658	523
995	19	668	650	525
1018	20	671	655	522
1041	19	671	650	530
1064	19	670	653	523
1087	19	669	655	524
1110	19	669	652	523
1133	19	668	654	523
1156	19	671	655	523
1179	19	670	654	523
1202	19	669	653	523
1225	19	669	652	522
1248	19	669	653	523
1271	19	665	648	527
1294	20	671	661	523
1317	19	670	653	524
1340	19	673	656	520
1366	19	671	655	522
1389	19	671	652	523
1412	19	667	656	522
1435	19	671	649	525
1458	18	655	647	522
1481	19	689	649	512
1504	19	678	649	523
1527	19	604	653	530
1550	19	612	643	543
1573	19	682	670	496
1596	19	782	658	517
1619	20	689	627	514
1642	20	683	635	515
1665	18	686	636	510
1688	19	686	636	511
1711	19	688	635	510
1734	20	687	636	512
1757	19	688	635	512
1780	19	688	637	511
1803	19	687	635	512
1826	19	686	635	510
1849	19	687	636	510
1872	19	688	635	511
1895	19	688	638	511
1922	19	687	635	511
1945	19	688	635	511
1968	20	687	636	511
1991	19	688	635	511
2014	19	687	635	511
2037	19	688	634	512
2060	19	688	635	512
2083	19	687	634	512
2106	19	688	635	511
2129	18	687	635	510
2152	19	688	635	510
2175	19	688	635	510
2198	19	688	635	512
2221	19	688	633	512
2244	19	688	634	512
2267	19	687	635	513
2290	19	688	634	511
2313	19	690	635	510
2336	19	689	633	511
2359	19	688	635	512
2382	19	686	633	513
2442	19	691	636	510
2465	19	688	636	512
2488	19	687	633	514
2514	18	686	634	511
2537	19	689	635	508
2560	19	689	635	509
2583	19	688	633	510
2606	19	688	635	511
2629	19	687	634	512
2652	19	687	634	512
2675	19	688	635	511
2698	19	689	635	509
2721	19	688	635	510
2744	20	688	634	511
2767	20	685	636	511
2790	20	687	636	512
2813	19	687	635	511
2836	19	689	636	509
2859	19	688	634	510
2882	19	686	634	510
2905	19	690	635	509
2928	20	687	636	509
2951	19	687	636	508
2974	19	689	637	507
2997	20	688	637	508
3020	19	687	636	509
3043	18	688	636	509
3066	19	690	633	512
3092	19	686	634	512
3115	19	688	635	514
3138	19	686	637	515
3161	19	685	636	514
3184	19	686	637	513
3207	19	686	636	512
3230	19	687	636	511
3253	19	686	638	510
3276	18	686	636	511
3299	19	686	638	511
3322	19	686	636	512
3345	19	685	635	511
3368	19	686	636	509
3391	19	686	636	508
3414	19	690	635	510
3437	19	686	635	511
3460	19	685	637	512
3483	19	684	638	510
3506	19	684	638	510
3529	18	689	637	509
3552	19	686	636	509
3575	19	687	636	511
3598	19	686	637	510
3621	19	687	638	511
3648	19	686	637	509
3671	18	687	638	508
3694	19	686	637	509
3717	19	686	636	510
3740	18	686	636	509
3763	19	687	637	510
3786	19	686	637	509
3809	19	687	639	510
3832	19	687	638	509
3855	19	687	639	511
3878	19	685	636	511
3901	19	685	636	511
3924	18	686	637	510
