Time	Volt	Xaxis	Yaxis	Zaxis
202	19	689	543	593
382	19	697	536	587
406	21	705	539	577
430	20	704	536	578
454	19	701	534	579
478	20	708	533	577
502	20	705	533	579
526	20	702	532	577
550	20	707	537	572
574	20	709	528	578
598	21	718	535	573
622	20	725	547	568
646	20	732	554	577
670	19	694	541	592
694	20	661	537	615
718	19	628	553	626
742	19	613	529	646
766	20	613	526	651
790	19	633	541	643
814	20	658	535	633
838	20	678	546	626
862	21	676	543	626
886	20	649	537	634
910	21	653	535	635
934	21	652	537	630
1048	20	662	536	626
1072	20	681	532	618
1096	21	665	536	621
1120	20	680	534	612
1144	20	698	540	603
1168	20	681	541	609
1192	20	685	543	605
1216	20	688	539	600
1240	20	691	537	596
1264	20	699	539	592
1288	20	692	535	598
1312	20	684	530	608
1336	21	694	525	603
1360	19	686	530	594
1384	21	699	541	599
1408	20	687	554	607
1432	19	692	546	595
1456	20	723	544	591
1480	19	746	538	583
1504	19	741	506	587
1528	19	792	490	578
1552	20	792	516	573
1576	21	784	501	559
1600	21	760	490	552
1719	21	675	532	534
1743	21	644	549	536
1767	22	643	571	519
1791	21	678	573	529
1815	21	641	596	538
1839	21	631	597	565
1863	21	636	619	580
1887	21	639	626	565
1911	21	640	613	573
1935	21	656	645	592
1959	20	699	664	586
1983	20	633	630	550
2007	20	641	617	562
2031	20	654	656	625
2055	19	687	663	637
2079	20	677	644	615
2103	19	654	639	597
2127	19	657	623	614
2151	18	686	636	625
2175	20	653	627	619
2199	19	645	610	620
2223	20	655	625	614
2247	19	642	610	610
2271	19	611	612	594
2385	22	630	617	556
2409	21	632	613	560
2433	22	657	608	582
2457	23	690	609	595
2481	22	684	584	603
2505	22	642	556	577
2529	22	588	521	561
2553	22	676	508	600
2577	21	737	532	632
2601	21	709	528	616
2625	22	686	515	587
2649	21	727	517	591
2673	21	790	579	594
2697	21	762	586	563
2721	21	771	561	559
2745	21	813	564	610
2769	20	670	569	583
2793	20	595	578	661
2817	21	562	602	671
2841	22	531	609	649
2865	22	532	598	621
2889	25	531	566	632
2913	26	535	546	631
2937	29	534	509	645
2961	31	552	482	662
3077	18	687	513	662
3101	18	622	484	651
3125	19	618	507	607
3149	18	595	501	648
3173	19	619	514	659
3197	18	649	527	668
3221	18	648	538	649
3245	19	614	532	629
3269	19	661	553	627
3293	19	676	559	628
3317	20	655	562	636
3341	19	639	558	645
3391	20	676	560	633
3415	20	716	518	610
3439	19	711	530	624
3463	19	719	519	636
3487	19	714	525	652
3511	19	666	530	608
3535	18	662	536	601
3559	17	687	521	609
3583	18	721	525	619
3607	18	671	513	631
3631	18	619	527	664
3655	18	594	523	698
3772	19	544	545	661
3796	18	489	546	665
3820	19	480	536	659
3844	18	557	555	656
3868	19	570	566	689
3892	19	477	540	682
3916	19	546	550	681
3940	20	648	590	697
3964	22	662	587	695
3988	23	626	589	649
4012	24	627	582	638
4036	24	637	580	646
4060	25	627	561	642
4084	23	640	547	643
4108	20	645	538	660
4132	20	602	529	737
4156	20	591	545	761
4180	20	555	530	744
4204	21	589	562	727
4228	21	518	556	702
4252	18	538	554	699
4276	16	604	575	679
4300	16	650	594	671
4324	16	673	601	658
4348	17	648	583	632
4462	18	576	532	498
4486	18	671	515	490
4510	18	746	525	489
4534	18	708	506	465
4558	18	738	492	437
4582	19	840	518	423
4606	18	846	516	468
4630	18	754	505	469
4654	19	751	506	475
4678	19	782	534	492
4702	20	748	528	508
4726	20	703	528	513
4750	20	682	535	517
4774	19	706	533	517
4798	19	720	542	530
4822	19	728	536	545
4846	20	704	533	542
4870	20	740	532	532
4894	23	773	548	564
4918	23	745	557	559
4942	22	659	550	549
4966	23	626	545	547
4990	24	665	563	538
5014	23	716	563	526
5132	23	764	524	611
5155	22	696	536	616
5178	22	715	534	604
5201	20	687	553	587
5224	20	670	536	567
5247	20	704	542	580
5270	19	752	547	594
5293	21	707	545	571
5316	20	683	539	556
5339	20	712	543	569
5362	20	720	549	580
5385	21	708	554	566
5408	20	688	550	572
5431	20	699	554	584
5454	21	690	552	579
5477	20	706	536	582
5500	20	716	537	574
5523	20	699	538	569
5546	20	702	538	571
5607	20	717	535	582
5630	20	694	541	579
5653	20	688	544	586
5676	20	677	545	590
5699	19	701	538	608
5726	19	706	540	604
5749	20	699	532	611
5772	20	720	526	615
5795	20	785	501	648
5818	20	861	505	649
5841	21	787	512	604
5864	21	700	517	560
5887	21	680	564	519
5910	22	648	576	527
5933	23	602	580	521
5956	22	561	592	527
5979	23	545	591	586
6002	30	528	573	617
6025	29	509	564	686
6048	26	512	524	705
6071	26	503	491	738
6094	23	622	462	703
6117	54	765	507	663
6140	68	718	522	730
6163	75	684	555	674
6186	77	622	551	619
6209	68	652	549	621
6232	54	638	546	655
6255	43	648	524	681
6278	33	649	506	685
6305	26	610	502	647
6328	23	623	508	633
6351	19	695	519	635
6374	19	684	526	638
6397	20	663	540	638
6420	20	660	545	642
6443	19	666	546	638
6466	19	668	537	660
6489	19	694	543	657
6512	20	668	577	657
6535	19	639	565	662
6558	20	719	574	633
6581	22	680	593	619
6604	25	639	581	606
6627	29	646	583	611
6650	31	617	575	618
6673	28	612	560	651
6696	29	591	547	643
6719	31	562	528	644
6742	35	583	487	661
6765	42	626	485	653
6788	45	668	488	582
6811	43	655	486	566
6834	28	568	485	556
6861	20	646	489	666
6884	21	816	577	840
6907	22	695	581	754
6930	21	573	537	627
6953	21	539	534	608
6976	21	629	558	640
6999	22	689	548	685
7022	21	682	556	661
7045	20	596	523	643
7068	20	625	531	651
7091	20	604	521	660
7114	20	643	522	666
7137	19	673	537	667
7160	20	627	548	656
7183	19	684	570	674
7206	20	657	559	666
7229	21	666	545	649
7252	21	646	550	648
7275	23	633	559	658
7298	24	649	592	647
7321	23	675	577	628
7344	23	707	583	598
7367	22	653	567	574
7390	21	619	537	585
7413	20	687	540	583
7434	20	769	548	582
7457	18	763	533	594
7480	18	671	517	577
7503	17	678	510	547
7526	17	721	516	530
7549	16	695	498	529
7572	17	709	490	560
7595	17	740	526	570
7618	17	730	529	592
7641	16	740	540	606
7664	17	731	531	631
7687	17	643	548	594
7710	18	674	514	598
7733	18	770	538	598
7756	20	795	544	574
7779	21	728	527	554
7802	23	660	524	528
7825	23	621	535	572
7848	23	631	575	612
7871	24	674	571	584
7894	24	718	571	517
7917	23	656	594	544
7940	24	593	591	618
7963	24	585	568	644
7990	23	594	592	609
8013	24	534	613	581
8037	23	556	610	600
8060	23	608	622	613
8084	24	629	629	618
8107	23	637	635	648
8131	23	654	648	672
8154	22	678	656	650
8178	21	642	650	609
8201	22	608	652	608
8225	22	655	638	621
8248	23	699	640	636
8272	23	674	632	632
8295	23	645	607	620
8319	25	616	586	620
8342	26	582	568	644
8366	26	570	548	649
8389	27	587	517	649
8413	29	601	492	672
8436	31	590	500	674
8460	27	542	497	660
8483	20	548	472	651
8507	18	545	479	688
8530	17	785	594	754
8569	19	670	600	729
8593	19	594	533	631
8617	20	559	532	652
8641	20	596	539	660
8665	20	597	565	642
8689	20	675	568	656
8713	21	645	560	643
8737	21	624	560	613
8761	21	674	591	602
8785	22	651	593	627
8809	21	649	581	665
8833	21	621	563	672
8857	19	647	548	672
8881	20	673	546	655
8905	20	610	545	643
8929	19	586	526	652
8953	19	607	537	664
8977	19	640	568	685
9001	19	601	554	683
9025	19	560	553	679
9049	19	595	550	658
9073	19	648	571	649
9097	19	690	582	645
9121	19	665	579	617
9145	19	679	577	599
9174	19	691	587	603
9198	20	714	577	606
9222	20	727	575	613
9246	20	714	563	602
9270	19	698	540	570
9294	20	679	540	571
9318	22	665	533	594
9342	22	652	539	567
9366	21	651	526	572
9390	21	696	539	580
9414	21	722	558	551
9438	21	666	579	569
9462	21	695	581	546
9486	22	714	594	544
9510	22	706	593	539
9534	22	722	596	535
9558	23	719	599	535
9582	24	725	599	556
9606	23	693	598	561
9630	22	679	603	563
9654	22	674	603	592
9678	23	665	618	603
9702	22	626	605	607
9726	23	628	612	628
9755	22	685	634	628
9779	22	646	621	608
9803	23	644	590	629
9827	21	628	568	655
9851	22	574	571	655
9875	22	606	596	632
9899	21	636	582	612
9923	22	614	568	615
9947	23	617	542	623
9971	23	678	556	642
9995	23	704	556	653
10019	23	664	535	663
10043	21	595	520	703
10067	20	647	508	689
10129	20	596	527	641
10153	20	591	529	642
10177	19	584	563	689
10201	19	602	553	665
10225	19	636	551	622
10249	19	689	594	605
10273	19	688	611	591
10297	19	661	590	555
10321	19	688	606	549
10345	20	711	619	590
10373	19	690	616	625
10397	20	662	604	642
10421	19	630	593	646
10445	20	582	578	651
10469	20	542	557	628
10493	19	578	540	705
10517	20	658	597	718
10541	19	632	561	691
10565	19	619	568	657
10589	18	652	595	638
10613	18	648	594	634
10637	19	656	613	635
10661	18	693	633	615
10685	18	662	630	629
10709	18	580	611	656
10733	19	575	623	686
10757	19	599	644	690
10781	19	584	637	662
10805	19	555	653	620
10829	21	567	656	618
10853	20	604	654	625
10877	21	611	634	605
10901	21	627	618	572
10930	22	682	620	565
10954	22	679	602	565
10978	22	640	565	555
11002	22	650	545	530
11026	23	778	532	502
11050	21	791	514	561
11074	22	730	461	612
11098	22	741	495	624
11122	21	734	530	603
11146	22	658	554	603
11170	22	600	568	630
11194	21	555	573	645
11218	22	544	586	646
11242	22	549	612	660
11266	22	556	614	648
11290	22	538	605	630
11314	22	559	570	643
11338	22	644	575	657
11362	23	665	557	653
11386	25	653	545	637
11410	24	657	523	671
11434	21	630	498	710
11458	17	631	484	671
11487	18	659	508	750
11511	19	706	553	709
11535	18	596	530	646
11559	19	629	536	658
11583	20	619	539	658
11607	19	606	538	644
11631	20	639	549	659
11655	20	660	556	679
11679	20	665	551	683
11703	20	615	534	671
11727	19	641	542	682
11751	21	741	581	678
11775	25	640	596	645
11799	27	599	617	652
11823	27	600	637	635
11847	27	603	609	618
11871	27	584	601	596
11895	26	557	573	604
11919	28	526	536	627
11943	28	598	481	633
11967	29	696	489	644
11991	28	648	468	676
12015	27	602	448	670
12039	22	605	404	840
12068	25	745	518	672
12092	26	525	481	639
12116	20	557	500	642
12140	20	707	513	688
12164	21	679	533	659
12188	20	590	506	639
12212	20	654	535	641
12236	20	649	530	641
12260	20	647	539	647
12284	20	654	528	640
12308	20	620	518	638
12332	18	665	525	639
12356	18	675	512	656
12380	19	645	486	659
12404	18	641	490	683
12428	18	622	494	656
12452	19	680	494	642
12476	19	700	495	656
12500	21	667	504	633
12524	21	720	510	607
12548	21	755	514	628
12572	21	823	514	627
12596	20	726	530	655
12624	20	695	569	682
12648	21	620	597	686
12672	21	521	600	661
12696	21	539	636	605
12732	22	450	654	613
12756	22	451	654	596
12780	21	535	647	580
12804	21	505	656	593
12838	21	452	639	608
12862	22	439	637	583
12886	23	483	626	589
12910	23	529	610	619
12934	25	547	599	611
12958	28	608	558	598
12982	28	704	523	623
13006	29	720	501	647
13030	29	669	466	657
13054	27	638	452	660
13078	23	663	423	680
13102	19	971	348	1004
13126	21	709	537	617
13150	23	519	477	567
13174	21	602	498	630
13203	20	772	533	766
13227	20	638	557	624
13251	19	585	524	619
13275	20	710	533	646
13299	18	626	522	640
13323	18	660	531	621
13347	18	695	532	635
13371	19	644	516	634
13395	20	682	507	611
13419	20	720	492	629
13443	22	724	465	640
13467	26	753	419	678
13491	24	700	454	670
13515	23	683	497	658
13539	23	616	516	631
13563	24	571	562	602
13587	26	545	587	627
13611	27	539	586	634
13635	27	526	571	643
13659	29	543	554	649
13683	24	548	554	652
13707	17	561	535	678
13731	17	557	507	817
13760	19	843	599	798
13784	19	599	604	705
13808	21	556	582	681
13832	26	566	631	671
13856	28	575	668	672
13880	28	618	658	672
13904	28	566	628	652
13928	27	528	592	632
13952	24	548	538	630
13976	24	687	506	613
14000	23	675	514	593
14024	24	640	438	613
14048	23	764	408	605
14072	24	800	434	608
14096	24	737	449	682
14120	22	748	496	695
14144	21	637	537	659
14168	19	628	524	638
14192	20	675	535	711
14216	19	672	527	703
14240	19	662	510	725
14264	19	696	521	719
14288	19	775	551	648
14312	20	769	560	570
14341	20	816	535	556
14365	20	835	554	528
14389	20	839	521	497
14413	21	780	544	514
14437	22	748	537	517
14461	21	658	496	503
14511	22	466	549	434
14535	23	370	601	499
14559	22	475	636	638
14583	22	311	653	520
14607	21	267	680	553
14631	22	443	642	664
14655	22	649	679	662
14679	22	623	661	609
14703	22	598	601	550
14727	21	556	618	614
14751	22	632	749	615
