Time	Volt	Xaxis	Yaxis	Zaxis
214	17	675	534	621
386	17	676	537	619
410	17	672	529	623
434	17	672	534	623
458	18	671	537	623
482	17	670	544	621
506	17	672	544	623
530	18	668	536	625
554	17	664	536	627
578	17	667	536	628
602	17	667	539	624
626	18	669	542	625
650	18	664	540	625
674	17	665	536	630
698	17	658	539	630
722	17	665	539	623
746	18	670	538	626
770	18	667	536	626
794	17	669	540	624
818	17	668	541	624
842	17	666	539	626
866	17	667	534	630
890	17	665	535	627
914	18	672	541	623
938	17	673	540	621
1052	18	667	536	625
1076	17	668	538	624
1100	18	669	539	624
1124	17	671	540	625
1148	18	669	539	624
1172	17	669	536	625
1196	18	667	536	627
1220	18	667	537	624
1244	17	670	540	624
1268	17	670	539	623
1292	17	670	540	624
1316	17	666	538	624
1340	17	669	534	625
1364	17	668	532	626
1388	17	670	539	624
1412	17	668	541	624
1436	17	668	542	624
1460	17	669	538	624
1484	17	668	536	626
1508	18	664	535	627
1532	16	667	536	624
1556	17	672	539	623
1580	18	671	541	624
1604	17	666	541	628
1719	17	671	538	626
1743	17	668	540	623
1767	17	672	540	623
1791	17	668	537	625
1815	17	666	536	626
1839	18	666	535	626
1863	18	667	537	626
1887	16	671	539	621
1911	17	670	539	623
1935	17	669	537	624
1959	17	667	537	626
1983	18	667	536	627
2007	17	668	537	626
2031	17	667	539	624
2055	18	669	539	625
2079	17	668	538	623
2103	17	670	538	625
2127	18	666	534	627
2151	17	664	536	629
2175	18	665	538	626
2199	17	668	546	625
2223	17	668	541	624
2247	17	668	538	626
2271	17	668	535	626
2385	17	667	538	625
2409	18	671	539	625
2433	17	663	533	622
2457	17	674	537	625
2481	17	667	537	626
2505	17	666	540	626
2529	17	665	541	625
2553	18	669	540	625
2577	17	668	537	626
2601	17	668	534	625
2625	17	667	536	625
2649	18	669	538	626
2673	17	667	539	627
2697	18	666	541	628
2721	17	664	538	628
2745	17	668	536	627
2769	18	665	537	624
2793	18	674	536	626
2817	17	664	538	628
2841	18	667	538	627
2865	18	667	541	624
2889	17	669	537	626
2913	17	668	538	627
2937	18	668	533	625
2961	18	674	537	622
3076	16	668	537	624
3100	17	670	535	624
3124	17	670	535	627
3148	16	669	537	625
3172	18	667	538	625
3196	17	669	542	626
3220	17	668	536	626
3244	17	667	537	625
3268	18	668	535	625
3292	17	671	537	623
3316	17	670	538	623
3340	17	669	538	625
3364	17	670	538	625
3388	17	668	537	624
3412	17	670	537	625
3436	17	671	536	624
3460	17	671	538	622
3484	16	671	538	623
3508	17	671	539	624
3532	18	669	537	623
3556	17	668	537	625
3580	18	669	538	624
3604	17	669	538	624
3628	17	671	538	625
3745	17	669	538	623
3769	17	670	535	624
3793	18	669	538	624
3817	18	671	534	624
3841	17	671	537	623
3865	17	669	537	623
3889	18	668	537	624
3913	17	669	537	624
3937	17	670	538	623
3961	17	672	538	623
3985	17	669	536	623
4009	17	670	538	624
4033	17	666	536	625
4057	17	667	537	624
4081	17	669	538	625
4105	18	670	537	624
4129	18	668	535	625
4153	17	667	537	628
4177	17	669	536	625
4201	17	673	536	622
4225	17	667	535	625
4249	17	665	538	629
4273	17	663	538	627
4297	17	669	538	625
4321	17	669	537	623
4435	17	668	537	627
4459	17	665	537	627
4483	17	667	538	623
4507	18	670	537	625
4531	18	668	537	625
4555	17	667	535	626
4579	17	668	537	626
4603	17	669	540	624
4627	18	668	539	624
4651	17	670	538	624
4675	18	670	538	623
4699	17	669	536	623
4723	17	670	535	624
4747	17	671	537	624
4771	18	668	539	626
4795	18	666	541	624
4819	17	668	539	624
4843	17	669	536	624
4867	17	669	537	624
4891	17	669	537	625
4941	17	669	540	623
4965	17	669	538	625
4989	18	668	537	624
5013	17	668	539	622
5131	17	668	537	626
5154	18	669	536	623
5177	17	669	536	626
