Time	Volt	Xaxis	Yaxis	Zaxis
201	18	624	572	652
372	24	594	555	666
396	20	595	563	714
420	21	617	569	673
444	22	576	560	662
468	21	571	572	663
492	20	588	573	665
516	20	584	568	663
540	20	597	567	649
564	20	609	578	649
588	21	591	578	653
612	20	589	571	651
636	20	628	571	640
660	21	677	573	663
684	20	595	571	652
708	20	580	538	651
732	21	687	562	662
756	20	689	565	671
780	20	624	554	643
804	20	605	550	645
828	20	631	563	651
852	19	654	555	657
876	20	651	557	659
900	20	615	550	652
924	19	621	562	647
1038	20	642	553	666
1062	21	635	553	674
1086	20	625	550	664
1110	20	626	555	642
1134	20	617	560	637
1158	21	619	560	645
1182	20	642	564	640
1206	21	659	563	635
1230	21	651	568	629
1254	20	627	558	628
1278	20	612	552	649
1302	20	678	565	674
1326	20	664	554	654
1350	20	628	544	641
1374	19	631	557	646
1398	20	634	561	646
1422	19	628	559	646
1446	21	631	555	649
1470	21	641	557	654
1494	20	635	555	656
1518	20	633	553	653
1542	20	634	556	645
1566	19	639	559	640
1590	20	633	560	634
1708	20	659	551	688
1732	20	658	534	670
1756	20	615	514	668
1780	21	617	514	650
1804	21	661	525	647
1828	21	665	530	648
1852	20	655	520	647
1876	21	653	532	642
1900	20	664	535	631
1924	20	670	546	638
1948	20	678	520	642
1972	21	660	522	631
1996	20	669	553	646
2020	19	638	555	653
2044	20	634	537	636
2068	19	663	543	639
2092	20	611	552	655
2142	19	683	543	624
2166	19	670	544	633
2190	19	650	547	607
2214	20	695	550	612
2238	19	677	548	620
2262	20	673	541	621
2286	19	690	542	610
2400	19	668	544	631
2424	19	657	544	640
2448	19	648	531	641
2472	20	658	532	640
2496	19	667	533	635
2520	19	660	537	647
2544	19	645	540	649
2568	19	646	546	640
2592	19	651	544	645
2616	19	652	546	642
2640	19	660	544	647
2664	19	646	556	651
2688	19	624	549	654
2712	20	627	558	666
2736	19	618	563	686
2760	21	608	563	684
2784	20	620	565	664
2808	19	610	562	655
2832	20	586	555	650
2856	20	584	547	657
2880	19	627	547	657
2904	19	606	547	657
2928	20	587	534	658
2952	20	585	530	650
2976	19	600	537	657
3091	19	577	534	665
3115	19	572	529	666
3139	20	588	535	680
3163	19	599	526	706
3187	18	575	521	702
3211	19	637	525	691
3235	18	662	537	671
3259	19	618	519	650
3283	18	621	520	663
3307	19	639	528	661
3331	20	621	526	663
3355	19	620	526	669
3379	19	627	531	663
3403	19	645	532	656
3427	19	647	542	614
3451	20	659	542	664
3475	19	620	533	639
3499	20	643	555	641
3523	19	654	548	649
3547	19	646	542	649
3571	19	654	539	643
3595	18	664	545	636
3619	18	663	531	636
3643	19	652	532	642
3760	17	657	535	638
3784	17	668	540	641
3808	18	672	540	643
3832	18	672	531	657
3856	17	634	527	650
3880	18	643	536	636
3904	17	633	539	653
3928	18	651	540	644
3952	17	647	548	620
3976	17	614	547	607
4000	17	622	546	621
4024	18	650	543	641
4048	17	653	545	656
4072	17	661	544	655
4096	17	647	542	644
4120	18	643	540	642
4144	17	664	541	648
4168	17	661	543	643
4192	17	645	535	637
4216	17	658	538	642
4240	18	666	541	639
4264	18	660	536	632
4288	17	661	541	633
4312	17	659	537	637
4336	17	661	538	635
4450	18	654	539	633
4474	17	656	540	633
4498	17	660	539	636
4522	18	654	536	634
4546	17	656	538	633
4570	18	666	537	636
4594	18	666	537	632
4618	18	655	537	634
4642	17	657	538	632
4666	18	665	538	633
4690	18	662	538	632
4714	18	659	538	631
4738	18	660	537	633
4762	18	660	537	635
4786	17	660	538	632
4810	17	660	537	631
4834	18	663	539	631
4858	18	661	538	633
4882	17	659	538	634
4906	18	664	539	633
4930	17	659	538	633
4954	18	663	538	632
4978	17	659	537	633
5002	18	661	542	633
5120	18	659	538	633
5143	18	660	537	631
5166	17	664	538	633
5189	17	661	539	632
5212	19	662	538	632
5235	18	659	539	632
5258	18	662	539	631
5281	18	660	538	632
5304	17	661	537	631
5327	17	662	538	631
5350	17	663	538	633
5373	17	660	537	634
5396	17	657	539	634
5419	18	668	538	629
5442	18	668	538	630
5465	17	659	539	631
5488	18	661	541	630
5511	18	665	538	632
5534	17	660	536	633
5595	17	663	539	632
5618	17	661	535	638
5641	17	659	538	636
5664	17	658	540	631
5687	17	664	538	633
5714	17	656	538	632
5737	17	657	539	631
5760	18	671	534	633
5783	18	661	531	635
5806	17	645	535	642
5829	19	662	542	628
5852	20	671	536	641
5875	21	639	536	649
5898	21	641	535	636
5921	20	657	535	637
5944	20	649	534	644
5967	18	649	539	644
5990	19	659	540	635
6013	18	640	540	644
6036	18	653	537	643
6059	18	646	536	641
6082	17	651	540	645
6105	18	653	540	641
6128	17	647	540	641
6151	18	648	539	641
6174	17	646	537	644
6197	18	656	541	642
6220	17	650	538	643
6243	17	644	542	644
6266	17	648	538	643
6293	17	651	539	646
6316	17	651	537	639
6339	17	653	541	642
6362	16	646	538	641
6385	17	648	540	639
6408	17	651	541	644
6431	17	649	538	645
6454	17	649	538	642
6477	17	649	537	639
6500	16	655	539	639
6523	17	650	542	643
6546	16	646	544	640
6569	16	649	540	640
6592	17	653	539	642
6615	16	656	536	640
6638	17	651	536	643
6661	17	646	540	641
6684	16	652	542	642
6707	17	653	542	642
6730	18	651	540	641
6753	16	648	537	640
6776	17	655	538	640
6799	17	652	540	642
6822	17	650	541	646
6849	18	648	542	641
6872	17	649	538	643
6895	17	653	538	641
6918	18	655	538	640
6941	17	651	538	640
6964	17	649	539	643
6987	18	649	540	642
7010	18	655	539	641
7033	18	658	537	638
7056	18	645	538	641
7079	18	652	539	638
7102	17	658	539	639
7125	18	650	541	641
7148	17	652	539	642
7171	17	647	538	642
7194	16	649	539	639
7217	17	654	539	642
7240	18	653	539	640
7263	16	648	540	641
7286	17	648	541	641
7309	18	650	539	642
7332	16	645	540	640
7355	17	657	539	640
7378	17	657	538	638
7401	17	651	539	641
7422	16	644	539	642
7445	17	655	541	639
7468	17	650	539	637
7491	17	656	538	637
7514	16	665	537	636
7537	17	659	536	636
7560	16	661	537	634
7583	16	665	538	633
7606	17	658	537	636
7629	16	658	536	635
7652	17	660	537	634
7675	17	664	540	638
7698	17	659	535	632
7721	17	665	538	630
7744	16	663	536	632
7767	16	658	538	634
7790	17	658	538	634
7813	16	657	538	635
7836	17	657	539	633
7860	17	662	532	644
7883	17	648	534	629
7906	16	671	542	626
7929	17	666	535	626
7952	18	663	535	631
7979	17	668	539	630
8002	18	660	543	627
8026	17	681	540	623
8049	19	683	537	620
8073	19	655	540	635
8096	19	643	540	640
8120	19	656	542	632
8143	17	656	539	631
8167	17	659	537	633
8190	17	665	546	628
8214	17	663	541	630
8237	17	666	538	629
8261	17	663	540	629
8284	17	680	542	642
8308	17	686	543	649
8331	17	640	533	630
8355	17	637	542	629
8378	17	670	543	640
8402	17	678	542	649
8425	17	657	537	653
8449	17	589	541	646
8472	17	641	544	645
8496	17	642	548	637
8519	17	642	550	628
8558	17	641	539	638
8582	18	629	527	684
8606	18	623	546	631
8630	17	637	545	650
8654	17	648	545	653
8678	16	660	546	652
8702	17	646	548	644
8726	17	638	543	640
8750	16	640	541	641
8774	17	654	535	640
8798	17	667	539	710
8822	17	674	541	617
8846	17	662	545	629
8870	17	662	531	639
8894	17	667	535	632
8918	18	668	538	626
8942	17	666	537	628
8966	17	657	541	630
8990	17	659	540	633
9014	18	667	535	633
9038	17	673	543	626
9062	18	661	539	627
9086	17	657	540	630
9110	17	663	539	630
9134	18	675	537	633
9163	17	665	543	626
9187	18	660	540	629
9211	18	660	540	627
9235	17	665	538	629
9259	17	669	536	629
9283	17	662	537	629
9307	17	665	540	627
9331	17	666	538	633
9355	16	665	539	628
9379	19	668	535	626
9403	17	696	529	653
9427	17	660	544	647
9451	17	647	548	629
9475	17	670	537	608
9499	18	676	533	628
9523	18	664	540	642
9547	17	660	541	628
9571	17	662	538	621
9595	17	671	538	629
9619	17	666	539	634
9643	17	660	538	632
9667	18	663	536	626
9691	17	664	536	630
9715	17	660	541	630
9744	17	675	541	627
9768	16	666	540	628
9792	17	663	538	627
9816	16	666	537	627
9840	18	669	536	629
9864	16	667	538	628
9888	18	665	537	628
9912	17	666	537	626
9936	17	666	539	626
9960	17	666	539	629
9984	18	667	538	628
10008	17	666	538	629
10032	17	667	539	626
10056	17	664	539	626
10118	18	666	538	628
10142	17	662	539	626
10166	18	663	539	626
10190	17	673	538	627
10214	17	668	536	625
10238	17	667	537	625
10262	18	670	537	626
10286	16	671	534	626
10310	18	672	538	626
10334	17	665	538	626
10362	18	663	539	626
10386	17	668	536	625
10410	17	675	536	626
10434	17	667	538	626
10458	17	664	540	626
10482	17	666	540	627
10506	17	667	537	627
10530	17	669	536	626
10554	16	669	538	624
10578	18	670	537	629
10602	17	666	537	622
10626	17	666	538	628
10650	17	667	537	626
10674	16	671	537	628
10698	17	666	536	625
10722	17	670	537	625
10746	16	666	539	626
10770	17	667	540	626
10794	17	666	538	626
10818	18	667	537	626
10842	17	668	538	624
10866	16	669	538	626
10890	17	666	537	630
10919	17	667	538	627
10943	17	665	539	626
10967	16	667	537	626
10991	17	670	537	625
11015	17	668	538	625
11039	17	669	540	626
11063	17	667	536	626
11087	16	667	535	626
11111	17	667	539	627
11135	18	665	540	625
11159	17	669	538	626
11183	17	667	535	625
11207	17	670	536	626
11231	17	657	538	626
11255	17	664	542	627
11279	17	671	544	623
11303	17	675	532	622
