Time	Volt	Xaxis	Yaxis	Zaxis
201	18	613	570	659
356	19	610	572	659
380	18	610	577	664
404	18	607	573	663
428	18	607	570	662
452	19	607	571	659
476	18	607	570	660
500	18	609	580	663
524	18	609	574	661
548	19	604	574	661
572	19	607	568	663
596	19	613	573	664
620	18	608	574	662
644	19	595	572	656
668	19	601	575	665
692	19	603	573	664
716	19	607	573	662
740	18	597	580	653
764	19	590	569	652
788	19	619	574	662
812	19	606	567	660
836	19	608	568	663
860	19	621	569	665
884	19	617	571	672
908	19	603	564	668
1039	20	601	570	661
1063	20	599	570	656
1087	19	604	571	663
1111	20	595	571	664
1135	19	592	564	664
1159	19	603	566	670
1183	20	601	562	665
1207	19	602	562	666
1231	19	605	563	668
1255	19	611	566	670
1279	20	611	567	669
1303	20	604	565	668
1327	19	610	566	669
1351	20	612	566	667
1375	19	606	565	666
1399	20	605	566	664
1423	19	602	566	661
1447	20	603	571	661
1471	20	606	569	663
1495	20	603	569	663
1519	19	600	566	659
1543	19	599	568	661
1567	20	608	570	666
1591	20	607	569	666
1706	19	604	570	670
1730	20	618	570	668
1754	20	623	572	661
1778	19	615	587	660
1802	19	609	587	666
1826	19	619	589	670
1850	19	613	589	660
1874	19	621	598	657
1898	20	620	593	662
1922	19	605	585	662
1946	19	592	579	655
1970	19	583	579	647
1994	19	555	564	647
2018	20	561	540	646
2042	19	569	527	641
2066	20	565	520	652
2090	20	574	527	668
2114	20	705	574	687
2138	19	541	550	661
2162	19	579	556	660
2186	19	678	605	679
2210	19	607	598	660
2234	19	597	608	657
2258	19	647	609	656
2372	20	654	544	666
2396	19	647	553	672
2420	19	649	544	672
2444	19	659	549	668
2468	19	647	545	663
2492	19	644	544	656
2516	19	634	544	645
2540	19	626	547	639
2564	19	639	551	653
2588	20	649	550	659
2612	18	635	546	655
2636	18	627	547	649
2660	20	620	550	652
2684	20	628	544	660
2708	20	633	544	657
2732	19	637	544	653
2756	19	638	546	650
2780	19	641	548	652
2804	19	647	547	650
2828	19	643	545	647
2852	19	641	546	647
2876	18	634	547	645
2900	19	643	549	650
2924	19	639	546	649
2948	19	637	547	652
3063	19	632	546	651
3087	19	631	546	655
3111	20	642	548	657
3135	19	637	546	653
3159	19	633	547	651
3183	18	628	546	650
3207	18	635	546	655
3231	19	633	545	651
3255	19	633	547	647
3279	19	638	548	650
3303	19	641	547	651
3327	18	639	546	651
3351	18	635	547	651
3375	19	634	547	652
3399	19	636	546	652
3423	18	635	546	652
3447	19	635	546	651
3471	18	637	547	653
3495	19	636	545	654
3519	19	637	547	652
3543	19	634	546	649
3567	20	633	548	653
3591	18	634	548	651
3615	19	633	545	653
