Time	Volt	Xaxis	Yaxis	Zaxis
374	329	268	473	413
568	329	260	468	427
762	331	280	473	417
955	330	268	472	437
1144	330	269	461	440
1332	331	267	465	445
1524	331	295	479	426
1713	332	281	476	431
1901	332	266	479	433
2009	332	267	471	435
2034	332	275	471	439
2059	332	277	471	443
2084	333	277	470	444
2109	332	273	469	441
2134	332	267	468	440
2159	333	268	469	445
2184	332	277	469	449
2209	332	280	469	452
2234	332	267	466	452
2259	332	268	464	449
2284	331	272	466	449
2309	331	277	468	446
2334	332	273	468	442
2363	333	265	470	444
2388	332	274	469	444
2413	332	284	471	442
2438	332	278	471	447
2463	332	274	466	453
2488	332	274	465	452
2513	332	265	465	460
2538	332	273	465	458
2563	333	285	467	465
2588	333	278	468	465
2613	332	280	466	457
2638	332	282	467	460
2663	332	275	467	462
2688	334	282	464	462
2713	332	294	465	457
2738	333	285	462	460
2763	331	253	460	471
2788	331	285	464	468
2813	329	298	457	473
2838	329	280	463	479
2863	330	294	459	465
2888	330	292	463	465
2913	331	280	462	470
2942	331	277	460	472
2967	332	280	459	452
2992	332	280	467	446
3017	332	272	465	454
3042	332	278	460	444
3067	333	276	461	431
3092	333	267	463	429
3117	333	265	463	426
3142	334	268	471	417
3167	333	255	470	396
3192	333	242	471	408
3217	334	243	473	426
3242	334	252	481	406
3267	333	250	481	398
3292	334	240	480	401
3317	334	238	473	420
3342	333	252	483	402
3367	333	244	488	393
3392	333	250	485	401
3417	333	264	484	408
3442	334	271	488	413
3467	334	269	488	404
3492	334	284	489	413
3521	334	295	486	419
3546	333	296	484	418
3571	334	308	491	407
3596	334	299	489	412
3621	334	300	491	422
3646	334	307	498	421
3671	334	309	499	412
3696	334	304	503	406
3721	334	300	507	415
3746	334	307	511	419
3771	334	308	511	414
3796	333	307	516	412
3821	334	304	516	420
3846	334	308	513	420
3871	334	317	517	403
3896	334	308	518	409
3921	335	309	518	413
3946	334	303	516	413
3971	334	307	516	409
3996	334	306	518	414
4021	335	304	513	423
4046	333	310	513	421
4071	333	320	515	415
4100	333	307	514	415
4125	329	291	513	421
4150	324	307	515	412
4175	321	323	517	412
4200	318	300	508	419
4225	317	300	511	414
4250	316	314	509	412
4275	316	309	511	405
4300	316	308	511	394
4325	317	311	508	410
4350	318	305	502	415
4375	318	299	512	412
4400	319	311	516	377
4425	319	307	519	392
4450	320	295	521	412
4475	320	294	528	403
4500	319	299	533	360
4525	320	267	529	389
4550	320	262	507	420
4575	320	299	507	396
4600	321	307	511	356
4625	320	310	505	363
4650	321	266	476	398
4675	321	299	466	387
4704	321	319	458	343
4729	322	312	444	355
4754	322	269	426	378
4779	322	278	420	358
4811	322	319	431	310
4836	323	208	447	200
4861	324	162	434	392
4886	324	263	443	359
4911	324	216	470	346
4936	324	263	452	346
4961	324	284	455	347
4986	324	278	451	355
5011	323	244	440	362
5036	324	247	445	358
5061	324	263	447	353
5086	325	262	449	358
5111	324	254	444	362
5136	324	254	446	359
5161	324	266	447	355
5186	324	264	448	364
5211	325	257	449	367
5236	325	261	452	364
5261	326	266	452	365
5290	325	259	445	370
5315	325	251	449	375
5340	325	253	449	370
5365	325	266	446	366
5390	324	263	446	378
5415	326	230	443	375
5440	326	260	455	380
5465	325	261	446	375
5490	325	242	450	384
5515	325	255	446	385
5540	325	257	446	384
5565	325	260	444	379
5590	325	255	447	384
5615	326	253	449	384
5640	325	258	447	386
5665	325	256	445	385
5690	325	256	446	383
5715	325	254	446	382
5740	325	253	446	386
5765	325	251	443	386
5790	324	254	447	384
5815	325	258	446	385
5840	324	254	448	390
5869	325	252	444	391
5894	324	256	441	390
5919	324	254	447	387
5944	325	258	446	391
5969	326	252	445	393
5994	324	254	447	396
6019	325	248	440	399
6044	324	252	447	393
6069	325	260	447	392
6094	325	254	442	401
6119	325	254	446	402
6144	325	260	447	403
6169	324	249	443	407
6194	325	255	442	409
6219	323	255	444	405
6244	324	254	445	407
6269	324	253	445	405
6294	324	257	443	407
6319	324	253	443	403
6344	324	253	445	408
6369	324	254	444	405
6394	324	255	445	405
6419	324	255	444	403
6444	324	254	444	406
6473	324	254	443	410
6498	325	253	443	405
6523	324	255	446	404
6548	325	253	445	404
6573	325	255	444	405
6598	325	254	444	405
6623	326	251	444	405
6648	325	253	444	403
6673	324	254	444	406
6698	325	252	443	405
6723	325	253	444	402
6748	325	256	445	402
6773	324	254	445	401
6798	324	256	446	403
6823	325	255	446	400
6848	325	257	447	401
6873	325	256	445	402
6898	325	254	444	402
6923	325	254	445	402
6948	326	253	445	403
6973	325	254	444	402
6998	325	253	446	402
7023	326	253	448	404
7052	326	255	443	401
7077	326	255	444	400
7102	326	253	445	402
7127	326	254	447	400
7152	327	255	447	399
7177	326	255	446	402
7202	325	256	445	403
7227	324	256	446	402
7252	325	257	446	402
7277	325	252	445	404
7302	325	255	446	404
7327	326	257	447	401
7352	325	256	446	400
7377	325	253	445	402
7402	326	253	444	401
7427	325	254	446	401
7452	325	255	446	402
7477	325	256	446	402
7502	325	255	446	403
7527	326	255	446	401
7552	325	256	444	401
7577	325	255	447	399
7602	325	254	447	402
7631	326	252	446	401
7656	325	255	445	402
7681	325	256	442	401
7706	325	255	444	403
7731	325	252	443	403
7756	326	252	445	403
7781	324	253	443	404
7806	325	255	443	403
7831	324	252	443	401
7856	325	253	443	401
7881	325	253	444	403
7906	325	252	442	403
7938	325	256	444	401
7971	325	256	444	402
7996	326	252	444	403
8021	325	252	446	402
8046	325	253	443	401
8071	324	254	443	401
8096	326	254	444	402
8131	325	254	443	403
8156	325	256	444	401
8181	325	253	448	401
8206	325	254	447	402
8235	325	254	444	401
8260	325	256	443	401
8285	325	253	445	402
8310	325	256	444	399
8335	325	254	446	400
8360	326	256	448	402
8385	326	256	446	401
8410	325	257	445	401
8435	325	255	443	399
8460	324	252	442	400
8485	325	255	445	400
8510	324	252	445	400
8535	324	255	446	403
8560	325	253	442	405
8585	324	252	443	404
8610	324	252	441	405
8635	325	250	442	402
8660	324	253	441	405
8685	324	253	445	408
8710	324	255	445	408
8735	324	255	444	404
8760	323	252	445	404
8785	324	256	442	407
8810	323	253	442	403
8839	324	252	442	401
8864	323	254	440	402
8889	324	252	443	405
