Time	Volt	Xaxis	Yaxis	Zaxis
458	286	305	400	470
651	273	314	473	489
839	242	346	450	522
1027	208	302	445	501
1213	119	357	440	495
1404	276	276	391	540
1429	282	252	403	515
1454	280	186	384	496
1479	252	258	407	510
1504	196	354	429	518
1529	152	351	434	519
1554	121	351	445	529
1579	89	351	447	525
1604	67	366	436	513
1629	49	380	412	507
1654	45	371	398	518
1679	45	362	379	536
1704	49	386	349	541
1729	77	410	321	537
1754	314	412	291	553
1779	352	315	275	628
1804	308	318	346	584
1829	311	384	353	508
1858	333	352	354	511
1883	342	318	389	541
1908	344	326	378	523
1933	329	328	388	556
1958	336	334	398	547
1983	338	345	408	523
2008	332	309	400	518
2033	320	340	406	529
2058	320	330	410	538
2083	299	353	412	550
2108	285	261	402	542
2133	286	330	413	537
2158	283	360	392	539
2183	283	327	407	532
2208	293	416	414	535
2233	302	408	404	560
2258	296	383	412	535
2283	263	370	398	536
2308	219	390	388	556
2333	167	369	380	566
2358	100	306	381	556
2383	75	398	347	567
2408	59	397	347	545
2437	43	408	330	572
2462	42	360	302	595
2487	43	373	298	565
2512	43	388	322	531
2537	43	355	341	547
2562	44	345	358	543
2587	51	364	371	547
2612	55	350	391	523
2637	58	343	407	503
2662	55	379	424	490
2687	52	416	430	520
2712	46	415	442	553
2737	44	389	449	530
2762	46	404	448	531
2787	54	410	457	547
2812	85	384	463	512
2837	168	356	462	493
2862	228	373	446	522
2887	244	359	443	561
2912	246	420	429	595
2937	110	424	402	624
2962	88	411	426	608
2987	102	383	426	594
3012	135	353	433	580
3041	294	346	442	543
3066	319	325	435	522
3091	320	309	449	504
3116	318	321	438	493
3141	312	311	426	493
3166	298	289	426	485
3191	291	278	417	461
3216	289	296	414	424
3241	281	237	410	423
3266	274	213	379	433
3291	267	253	372	432
3316	269	272	383	446
3341	272	246	389	440
3366	276	187	362	462
3391	280	210	372	472
3416	279	243	387	483
3441	276	275	393	486
3466	268	304	405	473
3491	259	278	409	476
3516	252	292	403	483
3541	247	311	405	493
3566	235	307	400	506
3591	222	318	390	492
3616	245	300	394	476
3645	201	266	377	488
3670	221	243	396	487
3695	219	262	391	490
3720	211	289	407	484
3745	196	267	406	496
3770	181	258	394	500
3795	168	295	395	489
3820	158	304	387	496
3845	159	295	397	498
3870	166	280	387	511
3895	170	277	397	501
3920	172	284	399	498
3945	178	294	401	496
3970	181	281	395	519
3995	180	312	391	505
4020	181	294	400	504
4045	192	272	384	509
4070	199	300	379	508
4095	203	268	377	495
4120	202	275	375	500
4145	200	277	373	519
4170	191	302	392	511
4195	183	328	395	510
4224	181	315	395	502
4249	181	286	387	515
4274	186	300	378	524
4299	222	291	378	511
4324	245	294	382	501
4356	261	285	383	520
4381	271	302	385	528
4406	274	318	374	512
4431	271	340	372	548
4456	263	311	370	560
4481	251	277	359	553
4506	239	221	346	538
4531	228	219	365	523
4556	215	255	393	510
4581	193	271	411	489
4606	168	334	450	434
4631	146	351	457	438
4656	126	366	458	490
4681	103	383	452	531
4706	86	445	449	532
4731	77	455	419	541
4756	93	438	427	533
4781	181	368	385	541
4810	138	347	382	518
4835	260	376	369	522
4860	284	224	324	579
4885	280	224	398	603
4910	275	434	360	538
4935	266	344	377	550
4960	258	347	377	555
4985	242	354	381	538
5010	234	354	379	547
5035	265	369	382	544
5060	319	344	391	536
5085	336	326	384	522
5110	350	335	395	524
5135	360	350	397	534
5160	355	321	397	539
5185	355	336	394	541
5210	354	369	389	583
5235	361	324	404	617
5260	360	244	405	571
5285	284	265	430	513
5310	136	352	441	501
5335	86	385	457	499
5360	75	362	447	497
5385	58	397	421	499
5414	55	432	398	499
5439	53	418	374	511
5464	53	307	335	494
5489	72	259	344	499
5514	167	364	314	506
5539	320	337	310	529
5564	335	204	354	653
5589	333	312	428	569
5614	345	461	388	501
5639	332	297	400	526
5664	328	275	397	544
5689	323	314	410	558
5714	329	405	414	536
5739	331	341	389	523
5764	329	295	377	518
5789	329	324	377	550
5814	327	331	375	562
5839	315	210	349	561
5864	311	392	365	551
5889	233	446	357	545
5914	72	362	399	555
5939	53	400	416	543
5964	50	424	435	552
5993	48	494	438	533
6018	45	383	458	520
6043	45	320	465	531
6068	46	353	464	521
6093	46	350	458	516
6118	47	315	428	527
6143	49	244	416	507
6168	73	179	388	508
6193	90	278	393	508
6218	111	333	385	509
6243	187	272	400	511
6268	174	255	393	499
6293	219	310	389	495
6318	295	271	407	487
6343	316	350	344	493
6368	323	315	382	498
6393	330	243	357	538
6418	336	280	365	540
6443	340	294	378	522
6468	336	282	356	495
6493	333	243	379	499
6518	334	260	395	502
6543	334	281	411	467
6568	334	284	406	472
6597	333	321	429	492
6622	330	319	430	481
6647	324	326	439	475
6672	317	323	437	484
6697	312	359	433	522
6722	304	427	443	513
6747	289	401	464	490
6772	267	313	461	496
6797	252	303	467	501
6822	246	334	472	519
6847	244	327	485	528
6872	244	331	486	533
6897	245	329	490	517
6922	238	310	487	502
6947	222	297	480	499
6972	203	297	466	510
6997	177	317	459	511
7022	144	329	452	514
7047	113	319	438	529
7072	89	309	411	519
7097	68	331	383	520
7122	55	351	377	551
7147	55	355	361	551
7176	91	373	357	538
7201	340	383	356	509
7226	377	353	342	516
7251	377	373	409	654
7276	368	351	387	616
7301	355	342	411	554
7326	348	351	405	504
7351	358	371	409	513
7376	353	368	404	539
7401	348	343	400	551
7426	340	343	409	546
7466	329	361	406	510
7491	307	326	410	539
7516	223	315	408	570
7541	142	298	406	565
7566	126	313	406	540
7591	132	340	399	517
7626	143	358	405	506
7651	149	358	409	531
7676	166	344	400	566
7701	166	291	404	583
7726	165	320	421	553
7751	155	334	413	530
7776	147	353	423	529
7805	141	351	420	538
7830	128	357	437	500
7855	113	376	423	507
7880	108	337	424	548
7905	110	349	418	562
7930	120	398	407	581
7955	177	378	386	570
7980	171	372	386	580
8005	190	374	375	581
8030	207	294	390	553
8055	221	280	397	545
8080	229	315	400	520
8105	230	312	411	490
8130	231	289	409	496
8155	230	302	398	526
8180	228	356	416	520
8205	228	361	414	495
8230	229	278	387	514
8255	231	294	383	509
8280	228	327	389	487
8305	224	297	382	479
8330	218	263	383	475
8355	209	235	380	466
8384	167	212	375	430
8409	127	212	397	407
8434	99	237	409	395
8459	89	335	418	411
8484	85	323	393	503
8509	88	248	403	537
8534	93	259	431	505
8559	95	291	434	510
8584	96	269	433	538
8609	95	294	443	546
8634	92	334	436	542
8659	83	348	434	529
8684	76	362	423	533
8709	73	379	400	543
8734	73	360	382	552
8759	89	355	375	558
8784	206	355	362	542
8809	283	335	344	537
8834	249	281	349	524
8859	151	303	372	584
8884	144	358	368	594
8909	144	319	364	593
8934	136	357	393	545
8959	120	416	419	514
8988	108	461	424	520
9013	107	466	428	526
9038	110	436	424	512
9063	112	416	420	516
9088	107	435	417	508
9113	108	448	409	530
9138	105	393	406	547
9163	107	372	412	574
9188	107	315	410	598
9213	111	346	417	580
9238	114	389	411	549
9263	118	347	416	545
9288	117	331	424	550
9313	114	343	424	551
9338	111	375	425	548
9363	114	377	429	555
9388	124	354	441	558
9413	134	350	454	551
9438	137	361	448	551
9463	143	379	450	568
9488	153	389	457	577
9513	161	363	468	570
9538	164	353	475	540
9567	160	372	467	527
9592	155	370	460	512
9617	153	339	455	496
9642	148	302	455	498
9667	145	337	444	497
9692	139	336	409	495
9717	128	283	400	508
9742	98	268	392	505
9767	72	360	363	506
9792	65	348	333	559
9817	65	298	361	570
9842	66	336	384	525
9867	69	335	399	512
9892	74	353	411	507
9917	79	376	424	516
9942	85	387	440	517
9967	89	392	447	519
9992	88	393	451	544
10017	85	399	456	552
10042	81	389	445	538
10067	73	371	426	547
10092	63	366	419	548
10117	64	367	391	541
10142	126	374	388	540
10171	362	383	349	545
10196	345	251	293	599
10221	326	325	407	628
10246	309	321	371	553
10271	321	402	390	520
10296	317	329	385	533
10321	314	332	389	551
10346	311	338	392	544
10371	303	334	401	546
10396	308	344	392	536
10421	310	360	389	532
10446	297	362	396	537
10471	286	304	404	538
10496	269	308	415	550
10521	191	329	417	548
10546	118	342	443	546
10578	65	315	450	550
10603	51	317	436	550
10628	48	345	430	536
10653	47	392	436	529
10678	46	402	420	524
10703	45	367	397	517
10732	45	385	375	516
10757	46	386	354	507
10782	53	360	332	513
10807	146	373	321	516
10832	316	415	283	529
10857	327	222	323	625
10882	280	286	321	600
10907	291	438	374	513
10932	314	407	352	503
10957	310	239	372	567
10982	303	318	373	549
11007	305	365	359	524
11032	283	311	362	540
11057	217	324	341	533
11082	168	291	317	542
11107	70	265	330	550
11132	51	268	358	545
11157	47	270	383	527
11182	45	298	402	508
11207	45	314	417	481
11232	46	357	439	461
11257	46	390	440	504
11282	46	370	438	576
11311	46	464	439	583
11336	55	522	440	568
11361	69	488	422	570
11386	95	409	406	576
11411	102	311	404	575
11436	86	359	418	564
11461	70	337	381	557
11486	73	261	379	535
11511	74	202	382	508
11536	62	212	393	509
11561	62	266	411	529
11586	61	303	417	518
11611	59	352	417	513
11636	55	406	426	529
11661	52	391	421	531
11686	47	369	409	534
11711	47	388	416	524
11736	48	424	402	512
11761	50	390	376	516
11786	57	347	362	530
11811	112	355	352	528
11836	306	335	319	530
11861	308	192	301	663
11890	181	403	347	524
11915	159	353	371	494
11940	280	250	363	531
11965	308	263	356	539
11990	293	372	370	494
12015	303	320	366	518
12040	310	330	360	549
12065	297	370	359	538
12090	296	370	352	533
12115	282	306	345	523
12140	261	291	338	514
12165	157	323	321	530
12190	72	326	312	540
12215	50	246	345	533
12240	47	280	364	520
12265	46	328	386	515
12290	46	359	415	519
12315	44	381	422	504
12340	43	382	425	503
12365	46	396	420	532
12390	90	406	410	557
