Time	Volt	Xaxis	Yaxis	Zaxis
436	96	353	433	519
630	158	335	425	543
818	187	367	458	516
1006	114	317	445	532
1193	152	388	449	530
1303	65	337	463	502
1328	63	329	463	496
1353	101	336	462	497
1378	111	342	461	488
1403	114	323	453	502
1428	118	304	460	517
1453	150	310	459	517
1478	170	321	453	496
1503	180	310	447	507
1528	182	283	452	528
1553	176	288	450	522
1578	163	317	444	502
1603	151	315	446	499
1628	146	285	448	509
1653	143	301	454	502
1678	136	309	451	487
1703	129	308	451	490
1728	123	309	451	495
1757	121	259	448	506
1782	118	264	449	497
1807	115	306	449	491
1832	113	315	448	491
1857	112	294	445	500
1882	110	286	448	507
1907	104	281	447	499
1932	95	267	440	526
1957	92	310	449	525
1982	101	357	441	539
2007	94	337	443	559
2032	80	272	450	544
2057	75	282	443	506
2082	73	324	449	482
2107	79	329	476	457
2132	81	338	466	402
2157	82	300	475	399
2182	83	252	481	439
2207	83	284	485	463
2232	87	314	477	485
2257	88	307	471	500
2282	88	308	465	493
2307	86	303	457	502
2332	82	306	465	507
2361	82	341	456	507
2386	81	344	458	510
2411	79	312	456	539
2436	78	325	455	543
2461	81	361	446	537
2486	88	378	437	538
2511	96	354	440	541
2536	101	359	427	531
2561	108	361	434	544
2586	121	373	444	552
2611	141	386	453	543
2636	158	370	456	526
2661	163	359	452	521
2686	165	352	454	526
2711	162	370	457	532
2736	142	343	455	525
2761	127	345	453	531
2786	128	340	451	535
2811	131	343	451	527
2836	135	357	450	525
2861	147	378	448	525
2886	161	393	447	532
2911	173	368	447	536
2940	183	289	455	519
2965	190	331	461	510
2990	195	331	457	502
3015	198	294	459	502
3040	199	295	453	502
3065	197	301	454	504
3090	197	319	447	496
3115	197	306	450	509
3140	196	292	450	513
3165	195	338	450	521
3190	193	287	454	514
3215	188	290	451	502
3240	186	309	452	501
3265	183	309	454	503
3290	181	320	450	497
3315	181	335	454	524
3340	179	269	450	521
3365	175	319	447	526
3390	170	311	447	522
3415	165	334	454	506
3440	162	324	449	486
3465	163	321	457	484
3490	162	310	456	503
3515	161	316	458	502
3544	161	314	455	519
3569	160	282	454	516
3594	159	310	451	510
3619	160	326	455	512
3644	157	328	452	515
3669	156	308	453	509
3694	155	321	451	507
3719	152	320	454	502
3744	152	307	457	508
3769	148	294	455	510
3794	145	322	458	504
3819	145	352	452	543
3844	144	298	459	507
3869	138	250	448	511
3894	125	257	467	478
3919	111	465	456	510
3944	107	383	442	524
3969	104	311	441	528
3994	109	363	455	552
4019	106	305	442	546
4044	104	361	448	533
