Time	Volt	Xaxis	Yaxis	Zaxis
435	159	313	417	517
626	158	326	399	552
813	150	332	421	513
1001	157	298	403	534
1188	158	307	412	521
1379	159	304	409	520
1404	159	306	408	519
1429	159	307	408	515
1454	159	306	408	517
1479	159	306	408	517
1504	159	307	408	519
1529	159	307	410	520
1554	160	307	408	519
1579	159	307	408	519
1604	160	307	407	518
1629	159	307	408	518
1654	160	305	408	519
1679	160	309	408	518
1704	160	307	409	519
1729	160	309	409	519
1754	160	305	409	520
1779	159	304	407	519
1804	159	306	406	519
1833	159	307	408	521
1858	159	309	408	519
1883	158	305	408	518
1908	159	306	406	524
1933	158	313	410	519
1958	158	306	410	517
1983	158	307	409	513
2008	159	306	411	512
2033	157	302	411	516
2058	158	304	409	515
2083	158	305	408	520
2108	159	306	408	521
2133	159	307	407	522
2158	158	308	407	524
2183	157	311	407	522
2208	158	308	407	523
2233	157	306	409	519
2258	158	305	408	518
2283	158	308	409	517
2308	158	312	408	519
2333	158	310	408	520
2358	157	305	411	520
2383	156	311	408	524
2412	155	311	410	523
2437	154	312	402	527
2462	153	307	406	533
2487	151	320	403	537
2512	150	319	405	533
2537	150	323	408	518
2562	148	309	405	522
2587	150	302	409	516
2612	149	297	412	507
2637	150	295	414	503
2662	151	295	418	501
2687	150	288	422	499
2712	150	291	420	504
2737	151	304	413	511
2762	151	307	413	517
2787	149	306	415	522
2812	149	317	413	526
2837	149	321	413	525
2862	149	319	414	525
2887	149	313	414	524
2912	149	314	414	525
2937	148	325	413	527
2962	149	322	411	528
2991	148	321	411	528
3016	147	318	413	526
3041	146	320	411	527
3066	145	319	409	528
3091	144	316	409	532
3116	137	318	409	525
3141	129	321	411	525
3166	121	312	412	524
3191	118	323	416	518
3216	115	312	408	529
3241	114	325	406	528
3266	115	314	412	525
3291	114	321	410	523
3316	115	316	413	526
3341	114	315	411	527
3366	114	315	410	526
3391	114	314	408	525
3416	114	315	408	531
3441	114	321	408	530
3466	114	323	409	527
3491	113	326	411	526
3516	113	325	406	533
3541	110	313	412	543
3570	101	302	386	533
3595	86	309	398	515
3620	81	309	422	528
3645	86	317	409	515
3670	86	315	417	533
3695	88	325	414	531
3720	88	326	417	528
3745	91	334	411	530
3770	92	336	416	528
3795	96	332	415	520
3820	97	333	414	520
3845	98	318	418	528
3870	98	319	417	531
3895	99	316	412	525
3920	99	315	412	530
3945	100	310	407	529
3970	101	313	408	533
3995	102	318	408	531
4020	102	317	412	524
4045	104	315	420	522
4070	104	327	427	528
4095	106	326	433	525
4120	107	312	431	525
4145	109	314	429	531
4174	111	315	416	529
4199	111	321	404	529
4224	114	319	417	537
4249	117	317	410	533
4274	118	337	399	538
4299	121	332	395	531
4331	121	350	389	525
4356	121	332	385	534
4381	122	333	383	533
4406	122	334	380	530
4431	122	329	382	527
4456	122	325	386	537
4481	122	328	399	543
4506	117	329	407	540
4531	115	328	414	534
4556	112	325	416	533
4581	111	330	415	538
4606	112	337	413	536
4631	107	331	409	529
4656	100	329	407	531
4681	95	335	405	534
4706	94	331	405	538
4731	94	330	407	536
4756	94	336	404	534
4785	92	327	408	535
4810	93	338	396	532
4835	94	335	402	535
4860	94	334	401	534
4885	94	332	397	530
4910	95	334	391	533
4935	97	328	394	537
4960	98	338	384	541
4985	101	340	387	540
5010	105	337	398	542
5035	109	342	402	539
5060	110	335	401	536
5085	112	335	398	536
5110	115	331	398	536
5135	118	335	393	537
5160	120	331	394	534
5185	121	332	392	537
5210	123	342	395	539
5235	125	339	394	541
5260	126	342	395	543
5285	127	345	399	539
5310	125	340	403	533
5335	128	336	404	537
5364	128	331	400	537
5389	126	335	401	538
5414	126	340	398	538
5439	125	338	404	536
5464	125	338	402	538
5489	125	330	400	536
5514	126	344	398	538
5539	126	341	401	537
5564	125	335	402	538
5589	124	339	396	540
5614	124	338	398	538
5639	124	340	397	535
5664	125	342	402	533
5689	124	333	404	535
5714	124	334	404	535
5739	124	334	405	537
5764	122	340	407	535
5789	123	339	403	540
5814	123	336	400	538
5839	123	336	402	536
5864	123	336	402	538
5889	123	341	398	539
5914	122	337	400	538
5939	123	335	400	536
5968	123	333	401	538
5993	124	339	399	538
6018	123	340	398	537
6043	122	338	398	538
6068	124	338	400	538
6093	124	336	401	537
6118	123	335	400	537
6143	123	338	399	539
6168	123	336	399	538
6193	124	336	400	537
6218	124	335	400	537
6243	124	336	399	537
6268	124	337	399	536
6293	124	335	400	538
6318	124	335	399	536
6343	124	336	401	536
6368	124	335	400	537
6393	124	337	399	537
6418	124	337	398	537
6443	124	336	399	537
6468	123	335	400	537
6493	123	336	400	538
6518	123	338	400	539
6547	124	338	399	537
6572	123	337	399	537
6597	123	337	398	538
6622	124	337	399	537
6647	125	337	399	538
6672	124	336	400	537
6697	123	337	398	539
6722	124	338	398	537
6747	123	337	399	538
6772	123	337	399	537
6797	123	335	399	537
6822	123	338	398	538
6847	124	336	399	537
6872	123	335	399	538
6897	123	335	400	536
6922	123	332	398	536
6947	123	336	398	537
6972	123	336	399	537
6997	123	337	398	537
7022	122	333	392	538
7047	123	334	394	536
7072	125	336	407	535
7097	125	333	403	536
7126	125	333	396	535
7151	125	332	399	534
7176	125	331	405	530
7201	126	330	394	535
7226	125	331	398	536
7251	126	334	399	534
7276	125	325	393	537
7301	122	333	402	538
7326	111	326	402	539
7351	98	324	407	539
7376	91	333	405	534
7401	86	331	402	532
7441	80	309	393	526
7466	77	323	387	531
7491	77	338	385	533
7516	82	329	397	535
7541	88	331	398	533
7566	92	325	399	535
7601	84	324	409	544
7626	83	303	413	524
7651	81	320	389	529
7676	82	354	375	525
7701	83	333	381	531
7726	92	300	375	540
7755	94	331	378	541
7780	98	335	390	538
7805	107	337	405	534
7830	119	326	417	535
7855	130	321	424	538
7880	140	320	414	521
7905	148	308	403	525
7930	149	308	416	522
7955	145	317	388	535
7980	145	325	390	533
8005	146	315	398	534
8030	149	319	403	525
8055	150	335	417	539
8080	156	329	386	533
8105	155	324	393	527
8130	156	316	395	526
8155	152	317	394	526
8180	150	319	399	533
8205	143	329	402	529
8230	135	318	401	528
8255	130	317	399	520
8280	125	319	399	535
8305	119	320	401	523
8330	109	321	394	532
8359	102	329	392	524
8384	98	317	393	520
8409	97	321	394	530
8434	98	323	397	532
8459	94	327	398	531
8484	88	320	399	531
8509	83	318	397	534
8534	83	313	399	523
8559	86	334	386	530
8584	88	340	390	530
8609	88	329	392	529
8634	94	313	395	525
8659	99	315	391	532
8684	97	327	400	529
8709	93	325	400	535
8734	94	329	406	526
8759	95	326	397	531
8784	99	325	397	530
8809	103	320	400	529
8834	108	320	396	531
8859	109	323	399	530
8884	110	323	399	531
8909	110	326	397	530
8934	109	326	396	532
8963	109	324	398	530
8988	110	322	398	530
9013	111	327	396	532
9038	111	325	396	532
9063	111	327	398	530
9088	110	325	391	528
9113	113	320	404	529
9138	117	329	401	530
9163	123	327	398	529
9188	129	322	396	530
9213	132	320	398	532
9238	133	326	399	533
9263	134	323	411	526
9288	134	320	401	531
9313	133	314	400	527
9338	128	324	398	529
9363	121	324	398	529
9388	114	319	399	530
9413	112	319	399	528
9438	111	319	397	532
9463	111	326	397	531
9488	110	323	396	531
9513	112	324	392	533
9542	112	319	392	530
9567	112	321	400	531
9592	112	321	395	532
9617	112	326	393	531
9642	112	323	398	531
9667	112	324	395	531
9692	113	320	396	530
9717	113	319	396	531
9742	113	323	396	529
9767	114	326	396	531
9792	113	324	395	532
9817	114	325	395	530
9842	114	321	394	530
9867	114	321	396	529
9892	113	320	398	531
9917	114	325	398	530
9942	114	324	397	530
9967	114	329	396	531
9992	113	324	394	528
10017	114	319	395	529
10042	115	319	398	527
10067	115	320	397	530
10092	115	324	399	532
10121	115	320	395	529
10146	116	322	396	529
10171	115	320	398	523
10196	116	319	399	529
10221	117	318	398	530
10246	116	319	398	528
10271	116	321	398	530
10296	114	320	400	526
10321	114	317	403	532
10346	112	317	401	525
10371	108	321	401	528
10396	99	305	398	527
10421	86	314	407	529
10446	76	331	393	539
10471	69	335	382	543
10496	76	329	382	527
10521	77	336	389	525
10553	83	317	384	541
10578	86	354	391	538
10603	93	337	393	535
10628	106	351	394	539
10653	127	350	393	540
10678	154	323	407	533
10707	163	318	413	544
10732	168	344	404	551
10757	167	353	423	532
10782	167	335	414	538
10807	167	331	403	509
10832	166	318	392	529
10857	166	307	390	536
10882	179	328	397	544
10907	194	337	378	530
10932	199	345	412	535
10957	200	336	422	528
10982	191	326	407	542
11007	184	330	400	534
11032	177	331	401	536
11057	176	335	398	531
11082	172	320	404	532
11107	163	319	404	536
11132	156	319	408	534
11157	151	315	406	523
11182	162	359	390	535
11207	164	334	390	535
