Time	Volt	Xaxis	Yaxis	Zaxis
370	336	326	397	533
564	337	327	397	531
750	337	327	399	531
857	339	334	399	525
882	341	312	401	537
907	343	320	399	537
932	346	351	411	532
957	351	339	411	527
982	354	295	412	535
1007	355	321	412	540
1032	356	352	427	545
1057	359	338	427	550
1082	360	332	417	550
1107	362	350	413	540
1132	363	350	408	536
1157	364	326	400	552
1182	364	343	393	543
1207	365	361	391	524
1232	366	325	384	535
1257	367	321	368	532
1282	368	335	359	507
1307	369	312	337	477
1332	370	238	297	508
1361	374	281	310	482
1386	375	301	300	459
1411	377	249	301	509
1436	377	249	317	507
1461	377	284	320	501
1486	377	342	347	534
1511	376	427	374	586
1536	376	476	402	615
1561	375	511	399	641
1586	371	505	403	598
1611	368	295	402	556
1636	367	458	399	541
1661	364	355	382	566
1686	363	356	378	563
1711	361	326	391	521
1736	359	267	381	528
1761	358	308	372	505
1786	355	291	366	480
1811	352	293	360	490
1836	340	265	346	517
1861	332	277	331	494
1886	321	285	334	479
1911	318	252	335	483
1940	329	291	340	500
1965	333	300	342	511
1990	334	331	321	483
2015	338	284	327	503
2040	350	306	315	518
2065	352	332	296	514
2090	353	340	297	493
2115	355	320	294	513
2140	358	360	287	537
2165	358	358	293	505
2190	360	329	299	509
2215	361	316	300	513
2240	362	325	301	504
2265	364	319	443	484
2290	366	320	286	497
2315	367	295	354	511
2340	368	316	348	518
2365	367	336	380	539
2390	366	374	405	586
2415	363	413	442	622
2440	364	409	476	628
2465	363	419	453	608
2490	360	390	435	569
2519	360	358	433	571
2544	361	336	410	578
2569	365	353	411	549
2594	367	307	376	518
2619	368	295	354	479
2644	370	259	321	470
2669	371	251	303	462
2694	375	238	281	441
2719	376	202	287	430
2744	380	196	293	466
2769	380	302	263	484
2794	381	290	253	471
2819	380	283	261	464
2844	377	304	235	480
2869	373	375	267	518
2894	370	470	352	608
2919	370	511	357	652
2944	367	571	409	684
2969	352	308	395	615
2994	312	324	349	545
3019	295	328	329	516
3044	303	300	320	485
3069	317	285	299	483
3094	322	300	335	467
3123	296	247	307	471
3148	296	246	322	482
3173	298	301	322	448
3198	299	303	330	451
3223	301	259	344	438
3248	304	229	349	436
3273	297	236	359	439
3298	278	240	383	451
3323	268	216	437	487
3348	279	218	465	529
3373	299	356	473	560
3398	320	393	449	615
3423	335	342	457	595
3448	345	348	433	571
3473	355	375	415	546
3498	361	386	420	535
3523	367	333	378	599
3548	369	344	366	574
3573	368	345	381	498
3598	367	285	347	501
3623	367	289	318	523
3648	366	305	288	496
3673	369	277	272	479
3702	373	295	253	482
3727	376	296	251	481
3752	376	358	265	494
3777	378	301	267	491
3802	379	296	310	487
3827	383	301	324	507
3859	384	352	336	550
3884	385	392	369	562
3909	384	434	424	582
3934	381	444	450	631
3959	378	385	439	642
3984	376	393	414	584
4009	376	391	411	539
4034	377	353	398	574
4059	376	356	376	580
4084	375	378	386	527
4109	376	352	362	513
4134	374	306	326	534
4159	376	339	316	498
4184	375	282	291	485
4209	376	248	271	489
4234	377	270	265	451
4259	377	207	258	410
4288	380	186	262	498
4313	381	372	257	483
4338	381	237	246	464
4363	381	307	290	500
4388	381	263	299	504
4413	381	336	324	516
4438	381	354	348	558
4463	380	440	354	578
4488	380	517	393	576
4513	378	554	398	609
4538	376	620	432	642
4563	354	444	363	684
4588	354	458	415	579
4613	356	469	372	583
4638	358	399	369	558
4663	358	344	344	534
4688	361	302	314	536
4713	361	316	299	537
4738	364	316	286	495
4763	365	317	268	483
4788	366	241	250	516
4813	368	283	257	487
4838	370	262	266	440
4863	372	220	285	426
4885	375	185	289	480
4910	374	324	282	479
4935	373	321	285	498
4960	373	264	316	520
4985	373	306	320	523
5010	373	364	333	544
5035	372	435	359	586
5060	372	500	420	599
5085	371	424	391	618
5110	369	575	425	622
5135	364	465	384	629
