Time	Volt	Xaxis	Yaxis	Zaxis
384	224	297	387	516
576	264	310	386	512
763	269	297	393	513
869	269	291	391	512
894	269	296	398	520
919	269	294	398	520
944	269	307	401	515
969	269	303	398	519
994	268	295	396	512
1019	269	301	400	511
1044	270	293	400	520
1069	273	278	401	515
1094	278	282	399	503
1119	265	287	395	510
1144	249	296	397	522
1169	232	316	406	500
1194	224	299	401	498
1219	236	299	405	506
1244	252	300	401	505
1269	263	297	404	491
1294	271	296	406	488
1319	274	304	407	489
1344	276	284	405	474
1373	293	268	402	473
1398	307	278	406	487
1423	320	274	407	480
1448	324	265	402	469
1473	326	276	405	476
1498	328	278	400	474
1523	322	265	395	475
1548	313	263	386	488
1573	304	280	385	483
1598	295	269	376	470
1623	291	263	368	466
1648	293	267	368	465
1673	294	268	380	460
1698	295	255	382	449
1723	296	201	376	488
1748	297	284	390	472
1773	297	260	388	462
1798	297	259	394	445
1823	296	253	387	450
1848	296	262	380	463
1873	296	265	383	471
1898	295	255	389	464
1923	292	243	404	460
1952	297	246	395	479
1977	305	258	408	486
2002	314	268	406	472
2027	320	281	404	469
2052	324	292	401	475
2077	327	282	403	484
2102	326	284	408	476
2127	326	288	396	483
2152	321	269	385	496
2177	311	278	383	483
2202	299	297	381	457
2227	285	300	378	457
2252	279	243	370	459
2277	277	255	378	452
2302	285	268	383	466
2327	302	214	392	485
2352	308	270	385	480
2377	314	268	401	472
2402	315	264	402	466
2427	314	264	397	471
2452	313	269	390	479
2477	313	266	390	474
2502	312	266	391	471
2531	313	267	391	473
2556	312	267	397	476
2581	311	269	391	477
2606	310	267	392	474
2631	308	266	392	474
2656	308	273	390	479
2681	309	271	391	478
2706	307	271	392	479
2731	307	264	392	476
2756	307	273	386	485
2781	306	274	388	483
2806	306	268	400	472
2831	307	264	394	472
2856	306	269	389	480
2881	306	268	391	477
2906	306	267	390	478
2931	305	267	390	477
2956	305	270	393	475
2981	304	268	393	478
3006	304	270	391	478
3031	305	270	392	477
3056	305	268	391	476
3081	305	271	390	475
3106	303	269	391	477
3135	303	270	390	480
3160	303	269	390	476
3185	304	269	390	477
3210	302	269	391	476
3235	303	269	390	476
3260	303	270	390	477
3285	303	271	391	477
3310	302	269	391	478
3335	304	271	392	477
3360	303	270	392	478
3385	303	270	391	477
3410	303	269	390	476
3435	304	269	390	477
3460	303	270	390	476
3485	303	268	391	478
3510	303	270	391	478
3535	302	270	392	477
3560	303	269	391	478
3585	303	270	391	477
3610	303	269	392	476
3635	303	270	390	478
3660	304	270	392	472
3685	304	262	396	474
3714	295	271	391	479
3739	282	264	390	487
3764	277	277	392	485
3789	265	268	394	494
3814	246	288	388	503
3839	225	263	380	514
3952	309	292	390	481
4138	235	256	402	471
4328	331	271	409	443
4437	288	271	415	465
4462	313	280	401	486
4487	324	268	406	482
4512	316	279	413	459
4537	301	316	409	478
4562	283	295	416	483
4587	265	253	408	469
4612	247	275	404	476
4637	256	276	407	451
4662	268	251	399	461
4687	289	288	405	470
4712	314	281	388	475
4737	331	235	374	483
4762	334	289	381	483
4791	336	282	382	473
4816	337	255	380	486
4841	337	255	389	485
4866	338	245	394	471
4891	338	238	389	490
4916	339	278	392	478
4941	338	270	381	494
4966	338	276	383	488
4991	339	279	381	479
5016	337	262	382	487
5041	337	264	386	490
5066	337	270	387	483
5091	335	277	394	471
5116	335	270	396	463
5141	336	265	400	467
5166	336	267	402	470
5191	336	270	407	469
5216	333	254	409	461
5241	329	257	409	452
5266	312	278	409	470
5291	300	281	416	470
5316	287	271	404	470
5341	293	249	393	485
5366	313	258	397	489
5388	326	278	389	491
5413	323	284	390	494
5438	317	296	378	504
5463	307	292	387	499
5488	292	262	397	469
5513	276	292	398	468
5538	276	268	400	486
5563	294	265	413	484
5588	310	285	410	488
5613	325	281	406	493
5638	331	243	394	495
5663	334	284	394	485
5688	335	308	389	483
5713	332	275	377	497
5738	318	287	365	519
5763	322	297	385	508
5788	331	270	386	475
5813	335	281	396	468
5838	337	288	392	479
5863	336	259	384	494
5888	335	263	393	474
5913	334	257	388	480
5938	333	279	387	491
5967	330	297	389	493
5992	329	265	400	495
6017	327	285	391	487
6042	328	283	389	489
6067	327	265	386	491
6092	327	277	385	482
6117	327	289	385	493
6142	326	273	390	497
6167	327	278	391	489
6192	326	283	390	488
6217	326	278	391	495
6242	327	288	386	499
6267	326	286	381	498
6292	327	285	384	494
6317	325	283	385	493
6342	326	282	389	496
6367	326	283	387	497
6392	326	282	388	494
6417	326	281	387	492
6442	326	280	385	495
6467	326	279	382	495
6492	325	282	387	491
6517	325	281	396	484
6546	325	277	397	489
6571	326	280	389	490
6596	326	281	390	491
6621	326	281	392	486
6646	326	269	386	488
6671	326	263	379	495
6696	328	262	385	499
6721	325	288	399	496
6746	321	280	383	501
6771	309	282	390	503
6796	292	268	394	502
6821	275	308	409	487
6846	256	309	400	481
6871	258	284	404	490
6896	269	285	394	507
6921	292	298	395	498
6946	308	301	395	495
6971	315	267	392	503
6996	318	274	393	495
7021	316	294	391	479
7046	319	282	396	481
7071	325	252	398	497
7096	328	284	392	496
7125	330	289	391	484
7150	332	287	392	483
7175	332	278	389	500
7200	333	269	395	504
7225	333	269	395	484
7250	332	277	392	477
7275	332	279	393	486
7300	332	269	394	486
7325	332	272	395	481
7350	333	267	394	485
7375	333	278	388	482
7400	332	267	394	483
7425	333	277	390	484
7450	334	274	395	488
7490	333	276	396	488
7515	333	275	390	483
7540	333	267	393	483
7565	333	274	394	488
7590	332	278	390	487
7625	331	278	390	487
7650	332	271	400	499
7675	331	281	395	495
7700	331	290	392	479
7725	331	281	399	489
7754	330	276	398	495
7779	329	280	395	492
7804	329	292	390	489
7829	330	274	395	489
7854	329	265	392	493
7879	330	268	392	489
7904	328	272	394	483
7929	329	276	394	481
7954	328	277	391	482
7979	329	274	395	485
8004	329	267	394	490
8029	328	268	397	479
8054	327	264	392	479
8079	323	267	392	487
8104	311	283	395	486
8129	296	282	384	490
8154	278	281	394	499
8179	254	286	395	490
8204	218	284	389	489
8229	202	261	406	466
8254	203	284	395	461
8279	223	260	392	490
8304	266	271	401	495
8333	305	276	384	498
8358	319	278	396	481
8383	328	287	391	486
8408	331	278	400	495
8433	331	294	396	495
8458	333	282	391	492
