Time	Volt	Xaxis	Yaxis	Zaxis
186	18	676	572	605
207	17	673	573	607
230	17	670	576	606
253	18	673	579	604
276	18	676	581	603
299	18	674	579	604
322	18	673	579	601
345	19	677	580	601
368	18	676	580	601
391	17	676	580	601
414	17	674	580	603
437	17	674	579	606
460	19	673	578	604
483	17	675	579	603
506	18	677	579	605
529	16	675	580	603
552	17	675	582	601
575	17	677	582	600
598	17	678	581	600
621	17	673	578	605
644	18	672	580	604
667	17	676	579	605
690	18	678	577	602
713	17	679	578	601
736	17	679	578	601
762	17	670	573	603
785	18	680	580	604
808	18	676	578	601
831	17	676	577	604
854	17	674	577	602
877	17	676	578	604
900	17	678	579	602
923	17	676	581	603
946	17	676	580	603
969	17	672	579	603
992	17	678	578	603
1015	17	681	580	603
1038	17	676	579	602
1061	17	675	578	604
1084	17	677	575	604
1107	18	676	577	604
1130	17	677	577	602
1153	17	678	580	601
1176	17	677	579	603
1199	17	678	578	604
1222	17	675	577	603
1245	18	675	578	603
1268	17	673	578	603
1291	18	674	576	606
1314	18	677	574	609
1340	18	675	577	603
1363	18	677	579	600
1386	17	677	579	601
1409	19	677	579	604
1432	18	676	578	604
1455	17	678	577	603
1478	18	674	577	604
1501	19	673	578	606
1524	18	675	579	604
1547	18	678	581	600
1570	18	679	578	598
1593	18	677	575	602
1616	18	673	576	608
1639	18	673	578	607
1662	18	675	579	603
1685	17	680	579	600
1708	18	677	580	598
1731	19	677	579	600
1754	19	674	579	601
1777	18	680	577	605
1800	19	674	579	604
1823	19	678	578	602
1846	17	679	579	597
1869	19	678	580	596
1896	18	678	579	602
1919	19	677	579	607
1942	18	675	578	605
1965	18	677	578	600
1988	18	677	578	593
2011	18	675	572	601
2034	18	680	582	605
2057	18	675	578	604
2080	18	678	579	600
2103	17	681	581	584
2126	18	685	582	598
2149	18	670	578	613
2172	18	676	577	610
2195	18	676	578	602
2218	19	675	578	594
2241	18	683	579	592
2264	19	676	581	600
2287	18	677	581	605
2310	18	682	583	604
2333	18	677	579	596
2356	18	680	577	591
2379	19	684	580	601
2402	18	679	577	615
2425	18	682	582	622
2486	20	700	579	616
2509	19	691	595	613
2532	19	673	598	600
2555	18	684	616	608
2578	20	692	611	595
2601	19	686	612	596
2624	20	675	609	590
2647	20	654	609	570
2670	19	651	603	557
2693	21	694	592	582
2716	21	669	589	590
2739	21	651	586	590
2762	20	659	593	570
2785	21	730	581	564
2808	22	725	576	574
2831	22	685	583	563
2854	21	662	585	554
2877	21	664	581	577
2900	22	698	574	604
2923	22	677	583	593
2946	21	663	581	581
2969	22	658	578	594
2992	22	697	564	607
3015	22	689	575	603
3038	21	672	572	588
3064	23	671	566	602
3087	23	686	555	621
