Time	Volt	Xaxis	Yaxis	Zaxis
205	22	603	518	668
376	21	632	529	657
400	20	620	535	644
424	19	630	544	651
448	19	597	529	660
472	19	612	519	687
496	18	621	519	684
520	18	594	521	660
544	18	575	513	684
568	18	600	499	697
592	18	599	513	675
616	19	586	533	635
640	18	635	530	633
664	18	692	531	638
688	19	675	540	618
712	19	680	538	605
736	19	714	543	591
760	19	701	539	596
784	20	681	543	597
808	19	701	547	579
832	20	726	537	545
856	20	757	545	541
880	20	713	550	541
904	20	708	545	543
928	19	732	541	554
1042	21	710	550	515
1066	20	706	548	515
1090	21	710	548	497
1114	21	716	545	491
1138	21	746	555	504
1162	20	737	556	506
1186	21	685	559	470
1210	21	732	568	483
1234	22	769	572	479
1258	21	752	579	489
1282	22	713	585	497
1306	22	728	593	466
1330	23	749	595	474
1354	21	753	592	492
1378	22	699	594	522
1402	22	684	588	556
1426	21	703	588	585
1450	22	693	610	557
1474	22	720	598	575
1498	21	667	587	586
1522	22	612	597	602
1546	23	600	570	626
1570	22	657	534	631
1594	22	660	532	679
1712	19	575	509	726
1736	19	541	520	701
1760	19	561	518	689
1784	19	554	529	675
1808	20	574	518	675
1832	19	573	506	668
1856	19	547	507	676
1880	19	528	512	665
1904	19	485	516	675
1928	19	476	498	688
1952	20	497	481	728
1976	19	547	497	717
2000	18	534	493	737
2024	18	496	482	737
2048	18	500	495	698
2072	18	558	521	696
2096	18	573	524	721
2120	19	564	543	709
2144	18	539	562	706
2168	19	514	572	705
2192	19	516	582	695
2216	19	563	594	673
2240	19	605	612	676
2264	19	575	614	672
2378	20	587	577	646
2402	19	563	566	634
2426	20	584	561	639
2450	20	591	552	631
2474	20	580	533	638
2498	20	641	515	647
2522	20	666	503	644
2546	20	598	511	625
2570	19	565	518	608
2594	19	571	473	625
2618	19	619	448	657
2642	20	632	454	652
2666	19	601	444	656
2690	20	605	419	675
2714	20	583	397	711
2738	21	598	398	696
2762	21	569	401	670
2786	22	568	403	695
2810	21	595	407	704
2834	21	601	404	697
2858	22	598	400	680
2882	22	594	414	681
2906	22	607	444	664
2930	22	606	465	653
2954	23	555	478	658
