Time	Volt	Xaxis	Yaxis	Zaxis
202	19	696	560	583
371	19	693	557	587
395	19	694	560	587
419	19	692	558	589
443	20	693	558	589
467	20	694	558	586
491	20	695	558	585
515	20	694	558	585
539	19	693	558	587
563	20	692	557	589
587	19	695	558	587
611	19	696	558	585
635	19	694	559	586
659	21	692	556	588
683	20	692	559	586
707	20	694	560	585
731	20	695	560	583
755	20	693	558	586
779	20	693	557	587
803	21	692	558	586
827	20	692	559	586
851	21	694	559	588
875	21	693	558	587
899	20	694	559	585
923	21	695	558	587
1037	20	695	557	588
1061	20	694	558	586
1085	20	694	559	586
1109	20	694	558	587
1133	20	693	558	588
1157	20	694	559	587
1181	20	694	559	585
1205	20	694	558	587
1229	20	693	557	588
1253	21	693	557	586
1277	20	693	556	588
1301	21	695	558	587
1325	21	693	557	587
1349	21	695	558	587
1373	21	693	557	586
1397	21	693	558	586
1421	22	692	557	590
1445	22	692	557	589
1469	21	692	561	586
1493	22	694	560	585
1517	22	693	559	587
1541	21	693	557	587
1565	22	693	557	586
1589	21	694	556	590
1705	22	693	558	589
1729	22	692	557	590
1753	22	691	557	589
1777	21	693	557	587
1801	23	694	558	586
1825	21	691	558	590
1849	22	692	558	587
1873	21	693	558	587
1897	22	694	557	588
1921	22	692	558	589
1945	21	692	559	592
1969	21	683	560	589
1993	22	690	560	584
2017	22	701	562	580
2041	23	703	561	581
2065	21	694	564	582
2089	22	694	564	580
2113	21	698	565	578
2137	22	700	562	581
2161	22	695	560	587
2185	22	699	560	581
2209	22	702	563	571
2233	22	699	566	567
2257	21	698	567	570
2371	22	697	564	571
2395	22	709	556	574
2419	22	705	562	578
2443	22	695	563	572
2467	22	691	568	565
2491	22	711	561	564
2515	22	688	557	578
2539	22	688	556	581
2563	21	708	564	572
2587	22	718	566	574
2611	21	710	560	566
2635	21	704	561	564
2659	21	697	562	564
2683	20	701	562	566
2707	20	705	561	572
2731	21	703	561	571
2755	21	702	562	567
2779	22	704	562	566
2803	21	705	562	566
2827	21	700	565	569
2851	21	704	564	568
2875	20	704	563	566
2899	21	700	564	567
2923	21	700	564	569
2947	21	705	562	570
3062	21	699	561	572
3086	21	709	563	568
3110	21	705	566	562
3134	21	699	567	566
3158	21	695	569	563
3182	21	705	565	566
3206	22	707	564	566
3230	20	701	563	569
3254	21	698	561	573
3278	21	700	560	571
3302	20	703	564	566
3326	20	704	564	566
3350	21	706	564	571
3374	21	702	564	570
3398	21	703	565	566
3422	21	703	564	568
3446	21	696	563	572
3470	21	696	563	573
3494	21	705	564	571
3518	21	710	562	570
3542	21	702	564	571
3566	21	696	564	572
3590	21	694	564	573
3614	21	701	564	574
3731	20	701	563	573
3755	21	703	563	575
3779	20	699	565	571
3803	20	697	565	572
3827	21	698	563	573
3851	20	701	562	575
3875	20	702	563	573
3899	20	699	564	571
3923	21	702	564	570
3947	20	698	563	572
3971	20	699	565	572
3995	21	703	563	571
4019	21	703	563	574
4043	21	699	563	574
4067	21	696	564	573
4091	20	700	564	572
4115	21	702	564	572
4139	21	700	561	574
4163	21	698	562	574
4187	21	699	563	572
4211	21	698	564	572
4235	22	701	564	573
4259	20	700	563	574
4283	21	698	563	573
4307	21	699	564	573
4421	21	698	562	575
4445	21	700	562	574
4469	20	697	563	572
4493	21	702	565	573
4517	20	699	563	574
4541	21	697	562	575
4565	20	699	563	573
4589	21	701	564	572
4613	21	699	564	572
4637	21	697	564	574
4661	21	701	563	575
4685	20	701	564	572
4709	21	699	565	572
