Time	Volt	Xaxis	Yaxis	Zaxis
196	17	584	538	680
365	17	590	534	676
389	16	585	534	679
413	17	585	534	679
437	16	585	533	681
461	17	584	533	678
485	16	589	534	677
509	17	584	533	685
533	17	587	533	684
557	17	585	535	676
581	15	583	531	678
605	16	581	532	679
629	16	588	533	677
653	18	582	535	679
677	16	581	534	679
701	17	583	538	676
725	17	587	537	683
749	17	587	535	676
773	17	586	540	676
797	16	589	538	679
821	18	586	540	675
845	17	583	542	675
869	17	579	539	680
893	17	587	536	683
917	16	579	541	670
1031	18	580	540	680
1055	17	594	533	675
1079	16	600	526	672
1103	17	584	522	685
1127	17	578	522	683
1151	17	571	522	690
1175	16	576	532	682
1199	16	577	542	676
1223	16	579	541	676
1247	16	582	538	674
1271	16	596	532	683
1295	17	586	539	679
1319	16	594	539	682
1343	16	586	542	666
1367	17	574	546	676
1391	16	585	552	677
1415	16	585	546	675
1439	16	596	541	683
1463	16	586	546	674
1487	16	581	537	672
1511	16	576	535	677
1535	16	586	533	685
1559	16	598	532	685
1583	16	596	531	678
1701	16	607	540	677
1725	16	596	539	677
1749	17	596	536	678
1773	17	593	537	675
1797	16	573	540	675
1821	16	568	538	679
1845	16	583	539	677
1869	16	585	537	685
1893	16	580	534	685
1917	16	584	535	679
1941	17	587	539	676
1965	16	587	543	671
1989	15	584	537	684
2013	17	582	533	685
2037	16	593	536	679
2061	17	584	536	675
2085	16	587	535	675
2109	17	585	534	677
2133	16	586	535	681
2157	16	584	538	680
2181	17	587	538	675
2205	16	588	536	676
2229	16	582	533	680
2253	16	593	532	679
2367	17	588	527	687
2391	16	574	532	685
2415	16	576	540	669
2439	17	590	536	672
2463	17	598	537	674
2487	16	584	534	680
2511	17	576	537	678
2535	17	586	538	672
2559	16	593	532	677
2583	16	598	533	677
2607	16	594	534	679
2631	16	595	535	678
2655	15	588	536	678
2679	15	589	534	676
2703	16	591	528	680
2727	16	595	531	667
2751	16	599	539	670
2775	15	596	535	678
2799	17	607	532	675
2823	16	613	541	664
2847	16	605	537	670
2871	16	582	528	685
2895	17	595	528	675
2919	16	595	526	682
2943	17	589	533	671
