Time	Volt	Xaxis	Yaxis	Zaxis
174	19	637	549	660
322	18	634	550	648
346	19	634	552	649
370	18	637	554	650
394	19	645	554	646
418	19	642	554	645
442	18	639	555	646
466	19	636	560	646
490	18	643	560	644
514	18	644	558	644
538	19	648	554	643
562	18	641	558	641
586	18	646	565	641
610	18	645	563	639
634	18	646	565	641
658	18	645	565	638
682	19	648	566	637
706	18	649	566	636
730	18	651	567	635
754	19	652	570	635
778	19	650	570	636
802	19	648	571	633
826	19	653	577	631
850	18	655	577	628
874	19	660	578	623
1011	19	661	581	622
1035	18	655	577	626
1059	19	653	575	625
1083	19	656	581	621
1107	18	660	584	620
1131	18	659	584	623
1155	18	655	588	624
1179	17	655	591	621
1203	19	659	596	616
1227	17	664	594	617
1251	18	660	591	619
1275	18	658	592	618
1299	18	659	597	616
1323	19	663	599	612
1347	18	664	593	614
1371	18	657	594	614
1395	19	654	600	617
1419	17	663	593	622
1443	18	665	584	615
1467	18	665	582	610
1491	18	661	589	612
1515	18	666	589	617
1539	18	663	582	616
1563	19	666	579	616
1681	19	666	575	613
1705	18	671	587	619
1729	19	663	586	629
1753	18	665	570	628
1777	18	667	571	631
1801	18	671	576	637
1825	18	670	565	643
1849	17	675	557	644
1873	18	641	552	645
1897	19	647	541	654
1921	19	657	614	638
1945	18	644	539	631
1969	19	604	561	620
1993	18	596	579	611
2017	21	630	589	609
2041	22	618	594	602
2065	22	623	588	600
2089	22	625	585	592
2113	21	632	606	597
2137	21	650	616	610
2161	20	651	613	607
2185	20	654	599	600
2209	20	694	595	605
2233	19	768	583	644
2347	20	657	548	647
2371	20	646	546	627
2395	20	634	553	610
2419	19	652	544	619
2443	19	648	547	626
2467	18	633	549	617
2491	18	630	552	602
2515	19	657	552	611
2539	18	654	550	618
2563	18	653	554	616
2587	19	664	552	613
2611	19	686	541	622
2635	19	690	534	631
2659	17	677	533	625
2683	18	678	536	630
2707	18	675	534	628
2731	18	676	529	636
2755	18	680	528	640
2779	18	685	523	637
2803	18	680	518	623
2827	18	685	513	623
2851	18	685	502	625
2875	19	678	507	616
2899	18	674	507	612
2923	18	703	512	625
3038	19	682	523	604
3062	18	697	519	615
3086	18	682	513	611
3110	18	680	514	603
3134	18	674	516	600
3158	18	687	513	608
3182	18	690	509	601
3206	18	682	516	595
3230	18	696	514	604
3254	18	695	506	609
3278	18	677	511	592
3302	18	681	510	593
3326	18	687	509	602
3350	17	684	504	606
3374	17	676	506	598
3398	17	677	509	596
3422	18	678	510	601
3446	18	680	510	604
3470	19	675	513	600
3494	18	675	510	599
3518	17	684	504	606
3542	17	695	499	605
3566	18	683	496	603
3590	18	683	501	604
3707	19	690	491	614
3731	18	693	489	605
3755	18	684	490	602
3779	18	691	491	597
3803	17	693	491	589
3827	18	704	485	592
3851	18	698	480	593
3875	18	692	476	593
3899	18	694	474	595
3923	18	698	474	606
3947	17	698	474	609
3971	18	700	475	606
3995	17	699	475	607
4019	18	701	472	609
4043	18	705	475	606
4067	18	710	477	609
4091	18	714	483	612
4115	18	730	480	635
4139	18	712	478	634
4163	18	721	494	613
4187	17	743	503	630
4211	17	726	510	640
4235	18	705	535	629
4259	18	716	575	617
4283	18	696	552	619
4397	20	618	562	583
4421	21	636	558	589
4445	21	645	554	592
4469	21	634	552	586
4493	20	606	557	560
4517	19	659	550	592
4541	19	671	530	634
4565	19	637	531	624
4589	19	658	529	627
4613	20	666	541	653
4637	19	645	540	669
4661	19	625	542	665
4685	19	647	560	648
4709	20	658	570	643
4733	19	642	564	634
4757	20	617	568	612
4781	20	632	560	590
4805	19	694	546	595
4829	20	663	519	636
4853	20	625	515	633
4877	20	656	510	647
4901	20	658	531	636
4925	19	691	555	621
4949	20	719	564	623
5067	19	676	556	609
5090	19	680	555	613
5113	20	677	552	618
5136	19	676	552	615
5159	19	674	552	605
5182	20	674	553	606
5205	19	681	546	630
5228	20	684	548	631
5251	20	672	555	611
5274	20	670	552	605
5297	19	669	553	607
5320	19	670	548	620
5343	20	680	546	623
5366	19	684	550	615
5389	19	681	555	619
5412	19	674	551	628
5435	19	681	541	630
5458	20	689	547	628
5481	19	685	550	629
5504	20	679	555	627
5527	19	683	557	629
5550	20	682	564	628
5573	20	675	564	621
5596	19	670	568	617
5623	19	666	570	603
5646	19	646	567	593
5669	20	641	557	598
5692	18	635	542	616
5749	19	657	531	620
5772	19	643	527	625
5795	19	635	523	635
5819	19	649	521	653
5842	19	648	519	657
5865	19	659	535	630
5888	19	654	545	623
5911	20	676	534	635
5934	20	673	544	622
5957	19	657	542	610
5980	18	651	540	604
6003	19	658	533	612
6026	18	672	524	638
6049	19	694	529	655
6072	19	687	548	631
6095	19	671	551	631
6118	19	656	548	634
6141	19	657	540	624
6164	18	677	538	628
6187	18	680	538	633
6210	19	669	534	638
6237	18	651	531	636
6260	19	654	533	634
6283	19	668	534	632
6306	19	670	538	630
6329	18	666	535	628
6352	18	662	539	625
6375	19	659	539	630
6398	18	665	536	639
6421	18	656	533	639
6444	18	662	532	630
6467	18	669	528	625
6490	18	662	536	631
6513	19	658	536	647
6536	19	658	540	638
6559	18	665	534	636
6582	19	656	529	633
6605	19	651	524	632
6628	19	660	525	632
6651	19	659	527	630
6674	19	656	533	632
6697	19	652	535	641
6720	19	657	532	646
6743	19	659	534	640
6766	19	663	526	644
6793	19	655	518	639
6816	18	647	519	640
6840	18	650	518	642
6863	19	655	521	643
6887	18	659	523	639
6910	18	657	521	637
6933	19	649	518	634
6956	18	649	516	626
6980	19	655	515	627
7003	20	665	527	634
7027	20	660	534	642
7050	19	652	534	648
7074	19	650	533	644
7097	19	653	523	640
7121	18	660	516	641
7145	19	653	510	643
7169	19	644	514	640
7193	19	648	514	642
7217	19	657	517	636
7240	19	660	524	638
7264	19	655	532	642
7288	19	651	534	640
7312	19	654	527	640
7335	19	655	520	640
7358	19	655	518	642
7379	18	651	519	643
7402	19	651	525	640
7425	19	653	530	641
7448	18	651	533	644
7471	19	652	528	644
7494	19	650	526	638
7517	18	657	526	641
7540	18	651	520	646
7563	18	649	521	642
7586	19	653	528	636
7609	19	657	533	645
7632	18	648	526	651
7655	19	645	525	644
7678	18	649	524	638
7701	18	658	526	641
7725	18	655	521	645
7748	18	653	516	641
7771	18	650	519	641
7794	18	648	521	641
7818	19	648	523	643
7841	19	658	521	640
7865	19	660	514	637
7888	19	656	518	638
7912	19	649	524	639
7939	19	655	522	642
7962	19	663	521	638
7986	20	660	520	637
8009	19	652	520	641
8033	19	652	516	639
8056	19	654	514	639
8080	18	658	516	640
8103	18	658	517	640
8127	19	653	519	643
8150	19	654	522	642
8174	20	654	519	644
8197	20	656	518	643
8221	19	652	519	639
8244	19	651	522	640
8268	19	650	524	641
8291	19	652	524	640
8341	19	650	514	637
8364	19	650	514	636
8388	19	653	516	639
8411	19	655	521	641
8435	19	657	526	637
8458	19	655	528	637
8482	20	650	531	645
8505	20	649	524	644
8544	19	655	518	640
8568	19	658	521	639
8592	19	653	521	640
8616	19	652	529	639
8640	18	654	533	641
8664	19	656	533	646
8688	18	651	532	641
8712	19	656	532	636
8736	19	660	530	643
8760	18	654	521	647
8784	19	645	521	636
8808	19	649	528	636
8832	19	655	531	647
8856	18	650	534	646
8880	19	649	532	641
8904	19	646	528	642
8928	19	657	522	648
8952	19	657	517	640
8976	19	656	516	636
9000	19	651	526	639
9024	19	653	527	644
9048	19	661	527	641
9072	19	655	521	636
9096	20	647	515	637
9120	19	648	517	642
9149	18	652	520	643
9173	19	659	522	639
9197	19	659	519	637
9221	19	656	520	637
9245	18	653	521	639
9269	19	655	521	643
9293	19	656	521	641
9317	19	656	517	639
9341	19	652	516	639
9365	19	653	517	642
9389	19	656	522	639
9413	20	658	523	639
9437	19	657	524	640
9461	19	656	525	641
9485	19	653	524	641
9509	19	655	525	639
9533	18	656	525	638
9557	19	656	523	640
9581	18	652	520	638
9605	19	654	523	638
9629	19	654	525	638
9653	19	655	522	639
9677	18	653	523	638
9701	19	655	529	640
9730	20	654	525	639
9754	19	655	524	642
9778	19	653	524	640
9802	19	653	524	641
9826	19	651	522	640
9850	20	654	522	641
9874	19	657	529	643
9898	19	655	535	644
9922	20	650	531	644
9946	19	650	528	642
9970	19	653	526	642
9994	19	653	523	642
10018	20	651	523	642
10042	20	648	527	643
10066	18	642	532	642
10090	19	646	530	649
10114	19	656	529	643
10138	19	663	533	635
10162	20	652	530	651
10186	18	637	515	652
