Time	Volt	Xaxis	Yaxis	Zaxis
174	17	633	501	659
349	18	631	500	657
373	18	628	499	660
397	18	632	500	657
421	18	637	501	655
445	18	628	501	658
469	18	623	499	661
493	18	633	503	652
517	18	634	503	654
541	19	644	500	658
565	18	628	499	654
589	18	617	500	658
613	19	616	503	661
637	18	630	503	657
661	18	631	501	657
685	17	624	500	658
709	18	640	502	652
733	18	644	506	653
757	18	634	501	655
781	18	629	501	656
805	18	633	503	656
829	18	632	498	661
853	17	631	499	658
877	18	633	501	655
901	18	635	501	656
1015	18	629	500	658
1039	18	631	502	655
1063	18	640	502	650
1087	18	638	503	651
1111	18	634	504	655
1135	17	638	501	652
1159	18	636	501	653
1183	17	632	499	657
1207	18	632	501	654
1231	18	636	503	658
1255	19	635	506	648
1279	18	637	503	651
1303	18	639	499	652
1327	18	633	500	654
1351	18	637	502	655
1375	18	638	503	651
1399	18	638	503	648
1423	18	630	501	657
1447	18	635	501	653
1471	18	641	502	650
1495	18	635	500	653
1519	18	635	502	649
1543	18	643	504	649
1567	18	640	502	656
1685	18	638	503	650
1709	17	636	500	655
1733	18	633	501	654
1757	18	637	502	653
1781	18	639	502	649
1805	18	640	503	653
1829	18	638	502	653
1853	18	638	501	653
1877	18	638	502	651
1901	18	639	499	653
1925	18	637	499	654
1949	18	635	501	653
1973	18	636	504	654
1997	18	637	503	653
2021	18	640	503	652
2045	18	638	500	652
2069	18	632	501	653
2093	18	636	500	655
2117	18	644	501	652
2141	18	639	503	652
2165	18	634	500	653
2189	17	631	501	655
2213	17	637	503	652
2237	19	640	503	651
2351	18	639	502	652
2375	18	634	502	655
2399	18	635	500	654
2423	18	638	503	651
2447	18	641	501	652
2471	18	638	499	651
2495	18	635	501	652
2519	18	638	502	652
2543	18	637	502	653
2567	18	634	499	658
2591	17	637	506	650
2615	18	642	504	649
2639	17	637	507	626
2663	18	634	501	663
2687	17	638	501	653
2711	18	637	500	656
2735	18	638	503	655
2759	18	647	503	651
2783	18	636	503	649
2807	17	638	500	650
2831	18	635	500	659
2855	18	642	502	653
2879	18	628	506	651
2903	17	631	506	650
2927	18	644	503	651
3042	18	635	505	656
3066	17	631	507	657
3090	18	640	505	651
3114	18	647	500	646
3138	17	633	498	657
3162	18	628	498	664
3186	18	635	506	654
3210	18	635	510	650
3234	18	638	509	652
3258	19	633	502	655
3282	18	632	498	657
3306	17	630	498	656
3330	18	631	505	653
3354	18	641	506	653
3378	18	643	508	653
3402	19	636	501	655
3426	18	629	498	656
3450	18	631	499	656
3474	17	638	504	652
3498	18	638	505	653
3522	18	638	505	654
3546	18	640	505	652
3570	18	639	501	652
3594	18	632	500	657
3710	18	639	502	653
3734	18	633	501	655
3758	18	637	501	653
3782	18	634	504	653
3806	18	630	504	655
3830	18	638	505	652
3854	18	645	501	652
3878	18	627	497	658
3902	19	640	503	652
3926	17	634	503	653
3950	18	633	502	653
3974	18	636	504	654
3998	18	639	504	653
4022	17	637	505	653
4046	18	643	501	650
4070	18	636	500	651
4094	19	632	502	654
4118	18	635	502	654
4142	18	645	503	651
4166	18	639	502	650
4190	18	634	500	653
4214	18	636	500	655
4238	18	640	502	652
4262	19	638	503	653
4286	18	635	503	654
4400	17	634	502	652
4424	17	637	501	653
4448	18	642	503	650
4472	18	641	502	652
4496	18	637	499	653
4520	18	638	500	650
4544	18	639	502	649
4568	18	639	502	653
4592	18	637	501	654
4616	18	636	503	653
4640	19	642	502	651
4664	18	644	501	649
4688	18	639	499	652
4712	17	633	499	653
4736	18	640	502	651
4760	18	645	502	649
4784	18	637	502	651
4808	18	635	500	653
4832	18	639	502	651
4856	18	643	500	652
4880	18	640	501	650
4904	18	639	500	652
4928	18	639	500	652
4952	17	640	505	653
5071	18	638	501	652
5094	17	643	503	650
5117	18	640	502	651
5167	18	639	496	653
5190	18	643	500	649
5213	17	641	499	651
5236	17	635	500	652
5259	18	637	500	653
5282	18	642	502	651
5305	19	641	500	650
5328	18	638	500	651
5351	19	638	499	650
5374	18	642	501	648
5397	18	641	499	651
5420	18	638	501	650
5443	18	643	501	652
5466	18	637	503	650
5489	18	639	501	652
5512	18	641	499	651
5535	18	645	499	647
5558	17	641	501	649
5581	18	637	500	653
5604	18	639	502	651
5627	18	643	504	648
5654	18	641	501	651
5677	18	634	498	653
5701	18	644	499	651
5724	18	642	502	648
5781	18	640	500	652
