Time	Volt	Xaxis	Yaxis	Zaxis
479	295	272	444	470
682	294	273	444	469
873	295	272	443	470
1068	295	274	444	472
1264	294	275	443	471
1453	295	273	443	470
1649	294	272	443	472
1842	295	272	442	471
2034	295	272	444	471
2220	295	273	444	470
2398	295	270	444	472
2504	294	273	444	469
2529	295	273	445	470
2554	295	272	444	472
2579	295	272	445	470
2604	293	273	443	470
2629	295	272	444	471
2654	295	272	444	470
2679	295	274	446	471
2704	296	272	444	471
2729	295	273	444	472
2754	296	271	443	472
2779	294	271	444	470
2808	295	272	445	472
2833	294	273	446	471
2858	295	272	445	471
2883	295	273	445	469
2908	295	272	443	472
2933	295	271	444	471
2958	295	273	444	471
2983	295	272	443	472
3008	295	273	444	472
3033	295	273	447	469
3058	294	272	447	470
3083	295	272	447	467
3108	295	273	444	468
3133	295	272	443	471
3158	295	273	443	472
3183	295	273	443	473
3208	296	274	445	473
3233	296	271	445	471
3258	295	272	444	470
3283	295	273	444	469
3308	295	273	445	471
3333	295	274	444	469
3358	295	274	444	470
3387	295	272	444	471
3412	295	274	446	473
3437	295	275	444	471
3462	294	271	444	471
3487	294	271	443	471
3512	295	271	443	473
3537	295	269	448	478
3562	295	275	447	477
3587	294	279	445	472
3612	295	266	446	468
3637	295	262	443	469
3662	296	272	444	471
3687	295	277	447	476
3712	295	279	446	474
3737	295	279	446	476
3762	296	274	443	479
3787	296	274	442	474
3812	295	273	446	471
3837	294	272	446	472
3862	296	268	449	477
3887	296	281	447	475
3912	295	283	447	473
3937	294	273	447	477
3966	295	270	446	482
3991	295	278	443	482
4016	295	283	442	482
4041	295	284	445	478
4066	295	279	439	476
4091	295	254	433	484
4116	296	289	464	472
4141	296	265	460	476
4166	295	275	455	471
4191	295	268	447	465
4216	294	239	437	473
4241	295	291	445	494
4266	296	254	437	499
4291	296	312	436	497
4316	295	308	454	511
4341	294	301	455	528
4366	295	356	443	557
4391	296	342	437	513
4416	295	341	438	553
4441	296	320	444	549
