Time	Volt	Xaxis	Yaxis	Zaxis
448	111	364	378	548
640	94	360	383	545
828	91	357	378	547
1012	99	362	379	545
1190	100	374	375	550
1372	97	360	381	544
1397	94	363	390	549
1422	89	357	393	542
1447	85	350	391	549
1472	82	354	380	545
1497	81	358	369	546
1522	76	366	364	541
1547	74	380	366	542
1572	72	381	365	541
1597	71	379	361	543
1622	70	366	368	545
1647	69	352	371	551
1672	72	363	374	551
1697	72	367	374	544
1722	72	371	371	549
1747	72	386	377	551
1772	71	377	386	547
1797	70	376	384	551
1822	71	358	387	538
1851	70	365	385	546
1876	71	369	381	552
1901	72	378	383	546
1926	74	378	380	548
1951	79	376	377	550
1976	84	368	376	547
2001	86	369	377	547
2026	89	372	376	547
2051	91	368	379	550
2076	91	371	375	547
2101	92	372	377	545
2126	93	372	378	551
2151	94	370	378	546
2176	95	369	382	548
2201	95	368	381	547
2226	92	371	382	549
2251	90	372	380	549
2276	89	371	383	544
2301	88	364	378	546
2326	87	368	374	550
2351	85	375	380	545
2376	84	378	378	548
2401	83	376	379	547
2426	83	365	386	549
2455	84	363	383	547
2480	85	370	380	548
2505	86	371	379	547
2530	86	373	378	546
2555	87	371	379	546
2580	86	368	381	547
2605	86	368	380	548
2630	86	368	381	548
2655	87	368	379	546
2680	87	372	379	548
2705	87	370	379	547
2730	87	369	379	548
2755	89	368	380	547
2780	89	367	379	548
2805	89	369	379	547
2830	89	370	381	547
2855	88	365	379	548
2880	88	367	379	547
2905	89	365	381	547
2930	89	366	381	545
2955	89	369	380	548
2980	90	367	382	545
3005	92	369	380	548
3030	94	365	379	547
3059	97	366	381	545
3084	98	367	381	546
3109	100	368	380	547
3134	103	365	381	546
3159	105	367	381	547
3184	105	374	381	548
3209	101	370	380	544
3234	96	359	376	545
3259	95	360	374	546
3284	95	364	372	545
3309	94	366	374	544
3334	95	368	375	546
3359	96	373	378	547
3384	97	370	377	546
3409	99	363	378	544
3434	101	357	383	546
3459	102	359	380	546
3484	103	357	378	545
3509	103	363	379	547
3534	103	368	380	547
3559	102	360	379	546
3584	102	359	381	544
3609	101	357	378	541
3634	99	360	372	547
3663	99	368	375	548
3688	98	365	377	553
3713	96	365	387	547
3738	89	353	384	547
3763	80	347	392	557
3788	72	340	392	560
3813	65	356	383	522
3838	59	363	366	537
3863	62	367	343	544
3888	66	383	344	553
3913	69	384	380	510
3938	74	360	394	503
3963	83	352	368	596
3988	81	352	393	535
4013	77	342	379	539
4038	75	367	380	541
4063	73	388	373	534
4088	77	354	357	604
4113	78	367	379	553
4138	77	388	408	474
4163	73	338	392	543
4188	70	309	332	580
4213	66	354	395	521
4238	71	390	377	579
4267	72	377	404	505
4292	68	358	412	517
4317	69	293	347	586
4349	68	368	399	512
4374	69	363	377	534
4399	74	329	367	570
4424	74	341	379	536
4449	75	351	378	534
4474	76	359	385	542
4499	82	349	382	556
4524	93	371	389	542
4549	109	364	390	545
4574	125	361	387	545
4599	139	354	383	551
4624	150	351	385	544
4649	152	357	386	545
4674	154	359	390	543
4699	157	343	360	558
4724	154	374	372	554
4749	147	363	389	539
4774	143	354	388	548
4799	137	348	388	553
4824	134	366	388	528
4849	142	360	381	547
4878	139	362	385	538
4903	138	373	387	550
4928	141	356	386	554
4953	149	361	388	542
4978	160	348	385	544
5003	169	343	384	546
5028	176	359	390	544
5053	177	328	381	541
5078	177	349	375	540
5103	176	363	376	538
5128	175	372	378	552
5153	170	373	384	548
5178	165	344	388	544
5203	159	350	385	554
5228	145	362	397	532
5253	128	361	390	554
5278	105	351	383	541
5303	86	362	377	538
5328	73	344	364	562
5353	69	349	368	538
5378	68	379	376	528
5403	68	376	374	537
5428	66	358	372	545
5453	72	353	375	542
5482	95	349	372	557
5507	134	340	384	557
5532	170	340	388	528
5557	177	388	436	492
5582	173	315	341	594
5607	166	393	391	528
5632	161	327	378	570
5657	161	386	397	520
5682	165	344	376	558
5707	173	363	381	543
5732	174	359	385	536
5757	174	355	382	547
5782	183	342	384	556
5807	192	371	390	544
5832	197	362	393	547
5857	165	301	370	557
5882	112	357	388	541
5907	79	373	395	523
5932	75	373	373	543
5957	72	350	343	567
5982	72	394	380	525
6007	69	380	392	539
6032	69	319	370	561
6061	75	328	376	548
6086	78	363	381	541
6111	86	349	381	541
6136	91	368	389	547
6161	94	368	386	549
6186	96	370	393	547
6211	89	363	392	547
6236	85	355	390	554
6261	84	374	392	545
6286	84	365	385	544
6311	84	357	385	547
6336	85	366	381	550
6361	87	370	381	548
6386	88	363	383	547
6411	87	358	383	546
6436	87	367	383	547
6461	89	366	383	548
6486	89	367	385	547
6511	88	366	382	547
6536	88	367	381	548
6561	92	365	382	549
6586	93	364	383	544
6611	95	361	384	546
6636	94	362	381	546
6661	96	373	382	549
6690	98	370	383	548
6715	100	366	385	545
6740	100	357	383	554
6765	100	366	384	549
6790	99	365	380	548
6815	98	371	385	538
6840	99	373	383	545
6865	99	369	382	549
6890	100	366	382	549
6915	100	358	386	543
6940	99	362	383	548
6965	100	371	382	550
6990	99	371	384	549
7015	100	367	382	548
7040	99	365	382	547
7065	99	365	381	548
7090	99	366	383	544
7115	100	367	376	549
7140	100	372	382	549
7165	100	367	389	547
7190	100	355	391	547
7215	102	354	380	545
7240	102	376	376	549
7265	103	380	379	548
7294	105	368	382	548
7319	110	357	383	547
7344	115	350	381	549
7369	113	363	389	541
7394	108	368	388	545
7427	105	380	382	556
7459	102	364	393	554
7484	93	352	393	539
7509	81	345	376	550
7534	70	371	387	552
7559	64	376	384	537
7594	68	353	340	570
7619	68	378	371	536
7644	67	379	380	518
7669	66	360	378	545
7694	61	342	355	561
7719	68	345	380	556
7744	74	375	391	545
7769	79	365	396	545
7794	80	369	395	543
7819	82	369	382	550
7844	83	363	380	547
7869	90	369	378	552
7894	100	370	383	548
7923	104	361	383	540
7948	110	360	382	543
7973	113	366	382	546
7998	116	368	380	544
8023	117	375	384	551
8048	127	361	385	545
8073	147	347	382	552
8098	153	370	385	549
8123	156	346	382	546
8148	166	362	382	541
8173	176	345	381	553
8198	180	379	370	559
8223	182	360	388	536
8248	197	370	386	550
8273	214	349	385	542
8298	226	363	385	539
8323	234	358	383	553
8348	220	358	377	547
8373	204	373	389	537
8398	199	355	377	541
8423	190	362	374	551
8448	189	334	379	549
8473	186	357	391	536
8502	166	392	400	552
8527	166	353	374	551
8552	158	363	384	538
8577	152	357	383	549
8602	152	358	385	541
8627	154	360	388	546
8652	160	353	386	543
8677	162	351	382	550
8702	167	347	386	556
8727	159	357	389	534
8752	128	362	388	530
8777	123	333	349	544
8802	125	338	368	533
8827	130	357	371	540
8852	150	370	376	553
8877	173	364	390	549
8902	183	357	397	541
8927	171	351	397	538
8952	144	366	396	551
8977	108	316	368	545
9002	80	314	403	538
9027	69	384	372	549
9052	68	377	366	541
9081	69	376	360	546
9106	71	359	377	547
9131	71	360	385	537
9156	72	349	382	543
9181	73	341	376	530
9206	77	384	372	582
9231	82	367	380	550
9256	85	339	385	544
9281	84	340	380	533
9306	79	364	385	543
9331	75	380	385	538
9356	74	377	386	528
9381	74	351	373	568
9406	80	347	369	557
9431	81	359	378	547
9456	87	348	379	547
9481	93	367	386	531
9506	97	355	396	542
9531	101	366	392	552
9556	97	361	388	554
9581	96	366	394	543
9606	93	362	392	543
9631	91	352	376	551
9656	92	363	384	544
9681	92	365	381	547
9710	93	365	380	546
9735	94	364	382	547
9760	96	364	383	546
9785	97	364	385	546
9810	98	363	384	546
9835	98	358	381	548
9860	99	365	382	548
9885	99	362	383	547
9910	95	360	384	545
9935	90	364	385	545
9960	88	358	381	545
9985	89	365	383	545
10010	89	367	382	547
10035	90	360	381	545
10060	91	362	382	547
10085	91	357	382	548
10110	89	364	384	545
10135	87	366	382	546
10160	87	363	382	545
10185	88	364	381	547
10210	90	366	383	548
10235	90	365	382	545
10260	89	363	383	546
10289	88	361	380	548
10314	90	366	380	546
10339	89	360	379	547
10364	92	357	382	552
10389	97	351	383	549
10414	106	364	374	542
10439	109	368	381	531
10464	111	375	383	539
10489	112	368	372	556
10514	114	348	379	561
10539	119	366	389	538
10571	119	367	396	532
10596	117	352	373	561
10621	116	370	380	553
10646	118	373	398	540
10671	112	370	377	549
10696	94	335	386	555
10721	70	393	394	523
10746	64	359	390	542
10771	63	377	377	538
10796	66	345	349	552
10821	68	379	369	520
10846	67	377	380	544
10875	65	354	370	558
10900	76	340	372	555
10925	86	364	375	552
10950	97	365	394	531
10975	105	367	415	538
11000	112	361	391	557
11025	114	354	382	550
11050	115	368	383	552
11075	118	366	384	543
11100	119	362	385	545
11125	119	367	386	547
11150	120	362	382	550
11175	119	368	383	550
11200	119	363	387	546
11225	123	362	386	544
11250	127	366	386	547
11275	128	359	383	550
11300	130	360	380	552
11325	136	376	376	543
11350	141	369	384	544
11375	145	371	375	544
11400	160	344	377	563
11425	181	363	387	540
11454	176	343	416	510
11479	167	373	359	589
11504	154	383	379	544
11529	145	352	387	552
11554	147	361	395	534
11579	145	369	399	530
11604	153	346	370	557
11629	152	365	387	535
11654	150	377	387	552
11679	145	373	387	538
11704	142	351	381	550
11729	143	360	382	536
11754	146	375	388	543
11779	145	371	383	561
11804	141	339	381	553
11829	143	356	384	539
11854	146	362	376	542
11879	143	365	368	550
11904	145	377	381	544
11929	144	356	375	553
11954	144	343	385	549
11979	142	393	399	533
12008	136	364	382	549
12033	129	350	371	553
12058	123	358	374	543
12083	129	364	371	543
12108	154	352	376	549
12133	163	378	390	553
12158	143	363	404	523
12183	127	370	382	571
12208	112	348	375	547
12233	94	376	397	538
12258	74	393	390	531
12283	69	361	373	552
12308	66	360	374	526
12333	69	362	370	546
12358	66	385	377	525
12383	65	364	379	551
12408	73	343	372	561
12433	76	362	390	539
12458	80	351	387	539
12483	85	342	387	548
12508	89	368	385	553
12533	95	373	384	550
12558	99	372	383	545
12587	100	362	383	548
12612	97	363	382	552
12637	96	359	380	546
12662	97	366	389	545
12687	96	356	381	547
12712	97	367	385	547
12737	97	369	384	548
12762	95	368	384	547
12787	95	356	381	548
12812	96	365	383	545
12837	96	365	383	546
12862	97	365	382	547
12887	101	367	381	547
12912	105	364	383	547
12937	110	366	384	549
12962	111	364	383	546
12987	111	362	381	548
13012	112	367	382	548
13037	113	366	383	547
13062	114	362	382	547
13087	117	370	383	551
13112	121	366	386	551
13137	126	364	385	545
13160	131	349	386	545
13195	163	367	388	548
13220	189	360	382	546
13245	206	363	382	551
13270	198	369	375	558
13295	132	360	388	539
13320	96	351	373	549
13345	83	354	367	539
13370	76	374	373	548
13395	72	392	380	530
13420	71	370	378	550
13445	70	332	375	552
13470	77	356	379	553
13495	82	364	381	541
13520	87	361	385	541
13545	95	358	387	540
13570	101	350	387	552
13595	104	367	386	550
13620	110	372	382	546
13645	114	366	380	548
13670	117	360	384	550
13695	113	365	382	549
13724	106	367	383	548
13749	100	362	383	547
13774	94	342	381	551
13799	85	378	389	540
13824	79	370	381	550
13849	74	349	367	549
13874	72	355	362	555
13899	70	369	378	547
13934	67	370	378	556
13959	60	355	377	557
13984	61	364	378	548
14009	68	365	374	537
14034	71	381	368	541
14059	73	369	370	542
14084	73	368	374	534
14109	75	357	375	546
14134	80	364	375	569
14165	80	373	385	540
14190	78	337	384	540
14215	75	351	389	534
14240	74	358	386	519
14264	74	364	385	504
14289	76	346	370	596
14317	84	369	369	556
14342	95	334	378	563
14367	97	371	388	540
14392	100	375	422	517
14417	100	371	390	565
14442	104	334	359	546
14466	110	381	400	514
14491	114	366	374	562
14516	110	363	379	561
14541	110	357	386	541
14566	113	355	385	519
14591	112	338	367	562
14616	116	370	388	533
14641	119	358	373	554
14666	117	353	386	550
14691	110	357	395	537
14716	109	364	382	546
14741	112	351	375	550
14766	124	352	376	540
14791	155	353	369	554
14816	179	374	383	550
14841	174	379	404	527
14866	155	362	414	560
14895	126	334	378	554
14920	99	349	394	533
14945	77	373	386	548
14970	71	362	372	549
14995	69	359	362	549
15020	69	361	370	553
15045	69	373	379	547
15070	68	352	384	545
15095	67	336	370	548
15120	70	372	381	541
15145	73	371	372	543
15170	75	364	369	535
15195	80	345	366	541
15220	93	373	383	556
15245	99	356	403	516
15270	92	306	373	558
15295	85	355	378	542
15320	86	371	384	542
15345	89	350	367	570
15370	94	390	384	527
15395	92	344	401	514
15420	88	310	368	539
15445	85	368	390	535
15474	85	363	382	540
15499	88	365	371	556
15524	93	329	380	552
15549	97	351	390	534
15574	97	361	394	533
15599	97	346	393	542
15624	98	354	385	548
15649	98	355	382	547
15674	96	361	383	547
15699	91	366	387	540
15724	87	359	388	541
15749	85	343	372	555
15774	85	362	384	544
15799	84	362	386	543
15824	84	359	383	548
15849	84	361	385	545
15874	84	358	368	555
15899	82	367	383	546
15924	83	362	386	542
15949	82	364	385	547
15974	82	359	383	547
15999	88	362	384	547
16024	92	360	383	550
16052	93	361	384	547
16077	93	358	383	546
16102	96	360	384	545
16127	95	362	385	545
16152	96	363	383	547
16177	97	365	383	548
16201	96	362	384	546
16226	96	360	383	547
16251	97	360	384	547
16276	98	361	383	547
16301	100	361	383	547
16326	101	361	384	547
16351	103	366	383	547
16376	102	355	382	554
16401	102	367	383	543
16426	103	362	381	542
16451	105	364	385	545
16476	105	360	382	543
16501	105	362	383	555
16526	103	373	388	550
16551	101	341	391	545
16576	98	360	393	535
16601	98	369	369	563
16630	97	371	365	546
16655	104	368	377	531
16680	108	353	385	554
16705	105	357	388	550
16730	103	357	396	539
16755	100	339	421	551
16780	98	361	386	547
16805	96	366	382	551
16830	93	363	383	547
16855	91	360	380	547
16880	90	365	382	547
16905	92	358	383	547
16930	91	359	383	547
16955	93	358	383	547
16980	93	364	387	546
17005	92	366	386	548
17030	92	364	384	551
17055	90	353	388	545
17080	87	352	390	551
17105	84	346	389	554
17130	78	362	391	534
17155	72	342	372	541
17180	66	362	350	549
17208	67	380	364	552
17233	69	375	375	552
17258	71	370	383	544
17283	73	362	386	511
17308	74	337	375	527
17333	77	371	370	576
17358	75	352	375	570
17383	72	342	374	544
17408	69	354	390	529
17433	64	361	385	523
17458	59	368	381	516
17483	56	366	378	510
17508	57	363	386	601
17533	61	358	369	551
17558	71	354	389	549
17583	83	356	372	546
17608	89	376	409	527
17633	91	357	387	557
17658	87	344	385	557
17683	86	360	382	544
17708	88	367	384	542
17733	87	361	382	547
17758	87	353	383	544
17787	88	360	382	547
17812	89	359	384	546
17837	90	357	383	545
17862	90	358	385	545
17887	90	364	385	546
17912	92	361	381	547
17937	94	360	380	545
17962	98	354	377	546
17987	99	355	382	544
18012	99	360	381	546
18037	99	359	382	545
18062	99	363	386	539
18087	97	359	383	551
18112	100	359	382	544
18137	104	337	386	556
18162	107	361	371	538
18187	112	357	377	538
18212	117	380	381	545
18237	117	361	375	542
18262	121	326	379	544
18287	132	347	390	547
18312	144	376	397	544
18337	146	365	391	545
18366	145	355	386	546
18391	144	355	385	549
18416	145	365	383	549
18441	145	350	387	560
18466	142	366	399	529
18491	143	360	369	557
18516	140	370	377	550
18541	132	364	389	534
