Time	Volt	Xaxis	Yaxis	Zaxis
452	354	341	332	530
645	355	434	298	539
834	352	424	384	563
1019	350	337	371	553
1197	350	353	323	530
1303	356	370	311	521
1328	357	365	302	519
1353	356	362	302	520
1378	357	381	300	519
1403	355	371	303	521
1428	357	377	299	519
1453	357	370	302	518
1478	356	361	305	525
1503	358	362	310	532
1528	357	362	315	522
1553	356	356	310	516
1578	356	335	306	523
1603	357	341	312	520
1628	356	335	319	523
1653	358	350	328	528
1678	359	369	335	526
1703	360	388	340	539
1728	361	447	350	555
1757	362	415	343	550
1782	361	399	352	547
1807	362	393	350	545
1832	361	393	358	555
1857	360	416	360	554
1882	362	419	349	555
1907	360	409	343	535
1932	360	415	333	547
1957	360	463	323	550
1982	359	511	318	573
2007	359	426	326	536
2032	360	403	339	521
2057	360	427	347	527
2082	357	422	332	535
2107	354	421	336	538
2132	353	408	347	544
2157	353	401	347	550
2182	352	395	358	553
2207	352	398	360	554
2232	352	407	357	552
2257	351	397	351	544
2282	351	379	345	538
2307	350	379	343	538
2336	351	378	339	533
2361	351	357	331	537
2386	350	349	326	531
2411	351	353	336	528
2436	350	334	323	531
2461	350	346	326	522
2486	349	333	316	520
2511	349	311	312	517
2536	348	311	305	512
2561	348	326	300	508
2586	348	335	290	513
2611	350	351	277	510
2636	354	421	277	514
2661	360	330	291	513
2686	361	317	295	506
2711	361	319	294	511
2736	361	329	297	503
2761	361	317	299	509
2786	361	338	322	522
2811	360	347	320	531
2836	361	366	330	514
2861	361	366	336	538
2886	361	389	337	540
2915	362	393	340	541
2940	361	399	338	544
2965	361	397	340	544
2990	361	404	330	541
3015	361	402	329	541
3040	362	396	325	537
3065	362	387	324	541
3090	362	387	328	541
3115	362	391	327	542
3140	362	400	328	538
3165	361	394	333	535
3190	360	385	343	542
3215	358	394	340	555
3240	357	445	347	556
3265	355	419	343	561
3290	354	386	374	537
3315	352	382	369	555
3340	353	402	371	568
3365	352	416	370	556
3390	349	404	371	552
3415	348	402	370	565
3440	346	392	369	561
3465	346	396	365	554
3494	346	395	356	549
3519	346	385	349	545
3544	346	390	346	535
3569	346	382	343	539
3594	345	362	347	542
3619	345	364	337	528
3644	344	348	337	527
3669	344	350	338	532
3694	343	338	331	528
3719	343	323	327	521
3744	341	310	321	526
3769	341	327	312	519
3794	342	315	311	529
3819	343	388	307	483
3844	344	308	303	526
3869	346	349	288	510
3894	348	335	284	512
3919	352	346	276	497
3944	354	345	273	502
3969	355	338	264	500
3994	356	332	272	505
4019	357	351	284	515
4044	357	351	285	511
4069	357	365	298	514
4098	357	365	327	527
4123	357	365	315	528
4148	357	364	321	534
4173	355	370	319	518
4198	357	376	331	535
4223	356	389	329	536
4248	357	398	327	536
4280	356	398	324	539
4305	356	395	326	540
4330	357	401	327	544
4355	356	426	325	548
4380	356	425	334	547
4405	356	435	340	562
4430	356	449	351	566
4455	356	455	356	561
4480	355	432	366	560
4505	352	404	366	566
4530	350	417	363	555
4555	348	402	365	556
4580	348	418	360	566
4605	347	425	362	550
4630	347	402	359	561
4655	348	414	343	550
4684	348	406	347	530
4709	348	379	343	545
4734	348	370	334	538
4759	348	354	342	534
4784	349	381	341	537
4809	348	367	332	528
4834	349	347	325	519
4859	349	345	325	528
4884	349	343	322	527
4909	348	318	307	517
4934	348	337	317	518
4959	349	333	312	526
4984	347	362	299	514
5009	349	351	300	515
5034	349	361	277	515
5059	349	345	271	502
5084	350	384	267	523
5109	356	433	273	511
5134	359	331	284	500
5159	361	344	273	510
5184	361	342	279	512
5209	360	338	288	480
5234	361	358	308	507
5263	362	334	294	521
5288	361	359	310	513
5313	360	335	316	521
5338	361	367	325	515
5363	361	373	326	534
5388	362	378	327	533
5413	361	372	332	535
5438	361	373	327	535
5463	361	375	334	534
5488	362	402	335	540
5513	361	404	331	548
5538	360	405	332	546
5563	359	419	324	535
5588	360	415	330	554
5613	359	429	327	551
5638	357	423	339	528
5663	355	398	342	547
5688	353	437	347	565
5713	354	501	330	601
5738	355	402	366	548
5763	353	415	383	542
5788	352	426	365	569
5813	350	410	357	559
5838	349	415	370	538
5861	350	409	364	546
5886	349	387	361	550
5911	349	384	362	555
5936	350	378	351	560
5961	348	381	355	538
5986	349	376	347	555
6011	349	377	339	545
6036	349	370	340	515
6061	349	356	338	536
6086	349	356	343	543
6111	350	345	328	528
6136	349	359	320	515
6161	350	363	320	531
6186	349	356	327	530
6211	349	352	314	520
6236	349	347	316	526
6261	349	359	307	511
6286	349	343	318	522
6311	350	354	310	525
6336	350	361	302	524
6361	350	357	307	519
6386	352	366	302	523
6411	351	365	292	517
6440	354	391	294	527
6465	354	404	295	521
6490	357	412	293	514
6515	360	376	303	515
6540	364	321	303	528
6565	365	344	302	523
6590	366	363	297	509
6615	367	355	299	517
6640	367	342	316	518
6665	366	363	300	509
6690	368	355	301	515
6715	367	359	314	517
6740	365	359	315	516
6765	366	361	307	534
6790	367	364	314	518
6815	366	356	320	521
6840	365	345	323	526
6865	365	361	317	528
6890	365	356	329	523
6915	365	361	334	536
6940	364	400	341	552
6965	364	417	344	556
6990	363	413	347	558
7019	362	442	350	553
7044	362	436	367	560
7069	359	410	370	582
7094	360	480	370	595
7119	359	468	385	592
7144	357	433	378	560
7169	358	360	390	549
7194	360	413	378	561
7219	360	432	356	562
7244	359	412	360	556
7269	358	420	352	548
7294	359	397	357	544
7319	359	378	351	555
7344	358	391	338	538
7384	358	391	348	551
7409	359	379	343	547
7434	359	375	348	534
7459	358	362	349	542
7484	358	367	343	539
7519	358	334	341	537
7544	358	338	327	531
7569	359	329	316	517
7594	358	322	309	512
7623	360	315	289	505
7648	359	330	275	495
7673	360	320	259	491
7698	361	344	250	497
7723	362	369	271	514
7748	363	374	274	510
7773	365	386	280	505
7798	366	381	277	506
7823	368	372	280	496
7848	369	382	277	510
7873	370	378	286	521
7898	369	373	292	517
7923	371	362	301	522
7948	371	366	292	519
7973	369	359	305	512
7998	368	354	306	515
8023	368	360	311	518
8048	369	355	311	520
8073	367	357	314	517
8098	368	388	317	536
8123	368	365	333	529
8148	368	384	339	544
8173	367	395	345	548
8198	368	418	341	549
8227	367	394	354	553
8252	367	413	355	562
8277	366	436	358	569
8302	366	458	368	575
8327	366	447	368	572
8352	364	450	373	569
8377	362	419	381	554
8402	362	401	379	577
8427	358	404	366	573
8452	358	412	364	554
8477	357	389	372	553
8502	356	385	363	559
8527	357	383	360	548
8552	356	383	360	541
8577	356	363	344	548
8602	356	360	346	534
8627	356	354	341	536
8652	356	363	345	540
8677	356	356	337	539
8702	356	357	332	526
8727	357	351	333	534
8752	357	353	319	528
8777	357	350	318	517
8806	357	338	324	529
8831	358	353	314	522
8856	358	338	303	514
