Time	Volt	Xaxis	Yaxis	Zaxis
438	168	239	393	473
631	175	259	395	473
819	165	271	391	474
1003	165	292	386	484
1182	170	283	390	484
1287	181	275	399	479
1312	181	271	395	487
1337	180	276	396	485
1362	176	261	395	482
1387	171	265	392	469
1412	169	271	384	476
1437	170	288	388	486
1462	172	286	392	501
1487	178	277	390	501
1512	182	291	396	496
1537	184	256	405	476
1562	183	254	401	461
1587	182	273	392	463
1612	179	269	390	484
1637	177	277	389	485
1662	174	268	395	481
1687	171	261	397	475
1712	169	274	386	487
1741	166	295	389	489
1766	165	274	387	481
1791	164	272	391	478
1816	165	263	397	479
1841	165	257	396	473
1866	166	261	395	474
1891	168	276	391	487
1916	172	289	391	485
1941	175	282	392	486
1966	177	272	394	483
1991	180	272	391	482
2016	178	276	389	481
2041	175	281	390	479
2066	172	261	391	477
2091	171	256	398	473
2116	168	257	394	477
2141	165	270	395	483
2166	165	275	393	490
2191	166	276	387	473
2216	168	277	388	472
2241	173	260	383	492
2266	175	269	387	489
2291	176	286	387	476
2320	176	251	412	459
2345	174	260	403	444
2370	173	274	397	466
2395	171	274	390	490
2420	169	286	385	487
2445	168	261	388	473
2470	168	254	396	473
2495	167	265	395	474
2520	166	267	392	479
2545	165	267	392	480
2570	162	276	391	480
2595	162	283	392	483
2620	160	272	390	482
2645	160	270	393	472
2670	157	259	390	470
2695	155	262	389	463
2720	157	254	390	485
2745	163	283	390	488
2770	169	285	399	498
2795	172	293	392	482
2820	174	263	384	468
2845	175	249	379	474
2870	174	270	390	489
2899	173	262	389	500
2924	171	259	398	479
2949	170	268	402	451
2974	169	270	396	466
2999	168	274	391	477
3024	169	278	390	484
3049	168	263	389	479
3074	167	257	394	473
3099	165	260	394	471
3124	162	257	390	480
3149	161	266	394	483
3174	158	297	396	491
3199	156	286	388	481
3224	155	269	389	460
3249	154	262	389	464
3274	157	258	397	483
3299	160	259	395	488
3324	159	273	395	486
3349	159	274	392	481
3374	161	275	390	471
3399	172	276	390	469
3424	181	279	392	481
3449	183	271	394	492
3478	181	249	392	477
3503	174	260	397	473
3528	166	265	393	470
3553	163	278	386	477
3578	162	269	390	477
3603	165	279	395	479
3628	171	271	394	482
3653	177	273	392	484
3678	178	279	389	486
3703	177	274	388	474
3728	175	266	388	474
3753	174	251	394	471
3778	172	263	396	476
3803	172	267	390	491
3828	172	296	391	492
3853	171	285	384	476
3878	171	261	387	451
3903	171	252	388	480
3928	173	263	393	486
3953	172	283	398	499
3978	171	274	395	486
4003	170	295	397	460
4028	171	269	398	452
4053	170	240	400	459
4082	170	280	398	471
4107	170	277	392	480
4132	170	261	388	485
4157	169	262	389	476
4182	167	271	393	476
4207	164	272	395	476
4232	163	263	393	476
4264	157	259	393	476
4289	153	262	393	467
4314	152	273	393	479
4339	155	286	388	476
4364	162	277	388	482
4389	166	273	393	486
4414	168	262	392	483
4439	165	244	393	471
4464	160	264	393	473
4489	158	274	384	479
4514	158	279	391	482
